                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1639,                0.97497,                 1.2239,                0.85954,                0.75052,                0.87794,                0.62727,                 1.0158,                0.89412,                 1.0963,                0.00034,                0.00034,                0.00034
                      2,                 1.1626,                0.95729,                 1.2176,                0.89137,                0.85377,                0.92748,                0.65225,                 1.0261,                0.87194,                 1.1056,             0.00066535,             0.00066535,             0.00066535
                      3,                 1.1571,                0.97919,                  1.217,                0.75892,                 0.8066,                0.85313,                0.58301,                 1.1109,                0.89738,                 1.1799,             0.00095506,             0.00095506,             0.00095506
                      4,                 1.1876,                 1.0318,                 1.2562,                0.87174,                0.80151,                0.89572,                0.61193,                 1.0959,                0.86156,                 1.1662,              0.0012091,              0.0012091,              0.0012091
                      5,                 1.2024,                 1.0639,                 1.2588,                0.80742,                0.78302,                0.87875,                0.60313,                 1.0692,                0.86595,                  1.144,              0.0014276,              0.0014276,              0.0014276
                      6,                  1.244,                 1.0789,                 1.2646,                0.78435,                0.75943,                0.82617,                0.51164,                 1.2363,                 1.3472,                 1.2775,               0.001505,               0.001505,               0.001505
                      7,                 1.2473,                 1.0856,                 1.2769,                0.74313,                0.79148,                0.84808,                0.57446,                 1.1609,                  1.092,                 1.2233,               0.001406,               0.001406,               0.001406
                      8,                 1.2276,                 1.0792,                 1.2642,                0.79377,                 0.7217,                0.81817,                0.51456,                 1.2335,                 1.1941,                 1.2463,               0.001307,               0.001307,               0.001307
                      9,                 1.2331,                 1.0849,                 1.2693,                0.80596,                0.75943,                0.86553,                0.57794,                 1.1349,                0.93868,                 1.1809,               0.001208,               0.001208,               0.001208
                     10,                 1.1656,                 1.0141,                 1.2377,                0.80879,                0.78774,                 0.8508,                0.56157,                 1.1275,                0.92683,                 1.2007,               0.001109,               0.001109,               0.001109
                     11,                 1.1294,                 1.0019,                 1.2253,                0.79863,                0.84434,                0.89016,                0.61091,                 1.0444,                0.87518,                 1.1344,                0.00101,                0.00101,                0.00101
                     12,                 1.0673,                0.93986,                 1.1751,                0.79074,                0.81132,                0.88902,                0.59633,                 1.0962,                0.87219,                 1.1826,               0.000911,               0.000911,               0.000911
                     13,                  1.081,                0.91259,                 1.1585,                0.79138,                0.82308,                0.88979,                0.62089,                0.99756,                0.84857,                 1.1148,               0.000812,               0.000812,               0.000812
                     14,                 1.0762,                0.88009,                 1.1802,                0.81084,                0.86944,                0.90952,                0.64157,                0.99465,                0.81302,                 1.1102,               0.000713,               0.000713,               0.000713
                     15,                 1.0545,                0.83161,                 1.1611,                 0.8544,                0.88208,                0.94433,                0.66663,                0.96445,                0.75376,                 1.0811,               0.000614,               0.000614,               0.000614
                     16,                 1.0147,                0.76942,                 1.1335,                0.91056,                0.86439,                0.95616,                0.69392,                0.92984,                0.69839,                 1.0723,               0.000515,               0.000515,               0.000515
                     17,                 0.9896,                0.75519,                 1.1275,                0.92196,                0.88208,                0.96449,                 0.7094,                0.91789,                0.63756,                 1.0509,               0.000416,               0.000416,               0.000416
                     18,                 0.9597,                0.72944,                 1.0966,                0.96583,                0.86792,                0.97142,                0.72012,                0.87868,                 0.5989,                 1.0307,               0.000317,               0.000317,               0.000317
                     19,                 0.9347,                0.69659,                   1.08,                0.91639,                0.93065,                0.97556,                0.73473,                0.86155,                0.57908,                 1.0265,               0.000218,               0.000218,               0.000218
                     20,                0.92219,                0.66211,                 1.0732,                0.94511,                0.92453,                0.98232,                0.74843,                0.85168,                0.55398,                 1.0179,               0.000119,               0.000119,               0.000119
