                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3472,                 1.2081,                 1.3268,                0.78224,                 0.7047,                0.79073,                0.48264,                 1.2737,                 1.1326,                 1.3574,                0.00022,                0.00022,                0.00022
                      2,                 1.3056,                 1.1783,                  1.284,                0.81334,                0.62416,                0.74709,                0.44915,                  1.298,                 1.2342,                 1.2933,             0.00043723,             0.00043723,             0.00043723
                      3,                 1.2815,                 1.1831,                 1.2646,                0.70973,                0.65639,                0.74254,                0.44423,                 1.3113,                 1.2797,                 1.3268,              0.0006307,              0.0006307,              0.0006307
                      4,                 1.3332,                  1.186,                 1.2964,                0.66804,                0.68881,                0.72203,                0.43269,                 1.3849,                  1.248,                 1.4204,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.3361,                 1.1781,                   1.32,                0.63526,                0.56376,                0.58844,                0.31225,                 1.5568,                 1.5274,                 1.5186,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.2901,                  1.159,                 1.2921,                0.66066,                 0.6443,                0.67209,                0.38445,                 1.5209,                 1.4697,                 1.4819,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.2652,                 1.1626,                 1.2796,                0.65592,                0.55705,                0.61963,                0.35374,                 1.5211,                 1.5317,                 1.4628,               0.001167,               0.001167,               0.001167
                      8,                 1.3088,                 1.2022,                 1.3221,                0.65216,                0.55034,                0.61712,                0.36418,                 1.4372,                 1.5631,                 1.4277,              0.0012416,              0.0012416,              0.0012416
                      9,                  1.303,                 1.1306,                  1.277,                0.57872,                0.59929,                0.59835,                0.33421,                 1.4642,                 1.6314,                 1.4228,               0.001208,               0.001208,               0.001208
                     10,                 1.2808,                 1.1829,                 1.2988,                0.66483,                0.55034,                0.64518,                 0.3738,                 1.4674,                 1.4734,                 1.4365,               0.001109,               0.001109,               0.001109
                     11,                 1.2539,                 1.1922,                 1.2714,                0.66091,                0.56376,                0.62205,                  0.351,                 1.4626,                  1.479,                  1.416,                0.00101,                0.00101,                0.00101
                     12,                 1.1802,                 1.1077,                 1.2274,                0.68666,                0.55705,                0.64193,                0.37579,                 1.4043,                 1.4601,                 1.3941,               0.000911,               0.000911,               0.000911
                     13,                 1.1828,                 1.0407,                 1.2403,                0.66032,                0.69128,                0.70916,                0.42707,                   1.42,                 1.3605,                 1.3923,               0.000812,               0.000812,               0.000812
                     14,                 1.1601,                 1.0328,                 1.1738,                0.66812,                 0.7161,                0.69788,                0.41461,                 1.3962,                 1.3566,                 1.3738,               0.000713,               0.000713,               0.000713
                     15,                 1.1518,                0.98185,                  1.221,                0.67925,                 0.7047,                0.73604,                0.42179,                 1.3924,                 1.2873,                 1.3482,               0.000614,               0.000614,               0.000614
                     16,                  1.105,                0.95824,                  1.164,                0.71279,                0.66624,                0.75672,                0.44412,                 1.3962,                 1.2453,                 1.3497,               0.000515,               0.000515,               0.000515
                     17,                 1.0712,                0.88034,                 1.1536,                0.84785,                 0.6358,                0.78172,                0.47353,                 1.3566,                 1.1841,                  1.326,               0.000416,               0.000416,               0.000416
                     18,                 1.0321,                0.84843,                  1.113,                  0.783,                0.67805,                0.76451,                0.48489,                 1.2827,                 1.1384,                 1.2729,               0.000317,               0.000317,               0.000317
                     19,                0.98771,                 0.7991,                 1.0936,                0.78241,                0.67114,                 0.7778,                0.49132,                 1.2798,                 1.1287,                 1.2737,               0.000218,               0.000218,               0.000218
                     20,                0.99537,                0.76918,                 1.1123,                0.70782,                0.73826,                0.78052,                0.49852,                 1.2666,                 1.0999,                 1.2724,               0.000119,               0.000119,               0.000119
