                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2498,                 1.2659,                 1.3264,                0.80684,                0.67114,                0.77811,                0.51835,                 1.1456,                 1.2081,                 1.2064,                0.00022,                0.00022,                0.00022
                      2,                 1.1553,                 1.1139,                 1.3007,                0.77957,                0.68456,                0.77802,                0.51886,                 1.1852,                 1.2102,                 1.2109,             0.00043723,             0.00043723,             0.00043723
                      3,                 1.1442,                 1.1075,                 1.2608,                0.80287,                0.73154,                0.81921,                0.53945,                 1.1934,                  1.044,                 1.2252,              0.0006307,              0.0006307,              0.0006307
                      4,                 1.2393,                 1.1007,                 1.2535,                0.82902,                0.73826,                0.80353,                0.51211,                 1.2365,                 1.0591,                 1.2893,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.3027,                 1.2187,                 1.3298,                0.77375,                0.73447,                0.82878,                0.53184,                 1.2899,                 1.0132,                 1.2586,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.2596,                 1.1692,                 1.3151,                0.81036,                0.65963,                0.76271,                0.48346,                 1.3192,                 1.1577,                 1.3147,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.2539,                 1.2199,                 1.2881,                0.79885,                0.71812,                0.77663,                0.49746,                 1.2881,                 1.2217,                  1.292,               0.001167,               0.001167,               0.001167
                      8,                 1.1871,                 1.1327,                 1.2465,                0.77919,                0.73826,                0.83379,                0.52064,                 1.2546,                 1.1686,                 1.2898,              0.0012416,              0.0012416,              0.0012416
                      9,                 1.2027,                 1.1052,                  1.265,                0.80993,                0.74497,                0.82122,                0.52696,                 1.2502,                 1.2412,                 1.2527,               0.001208,               0.001208,               0.001208
                     10,                 1.2595,                 1.2127,                 1.3276,                0.78288,                0.75018,                0.82933,                0.52815,                  1.278,                 1.1263,                 1.2596,               0.001109,               0.001109,               0.001109
                     11,                 1.1861,                 1.2547,                 1.2811,                0.81374,                0.70373,                 0.8026,                0.49706,                 1.2848,                 1.1576,                 1.2934,                0.00101,                0.00101,                0.00101
                     12,                 1.1744,                 1.1719,                  1.273,                0.80371,                0.69799,                0.80585,                0.50732,                 1.2825,                 1.1205,                 1.2865,               0.000911,               0.000911,               0.000911
                     13,                 1.1367,                 1.1056,                 1.2443,                0.83976,                0.73861,                0.82925,                0.54144,                 1.1818,                 1.1362,                 1.2008,               0.000812,               0.000812,               0.000812
                     14,                  1.067,                0.99813,                 1.1822,                0.82391,                0.79195,                0.83946,                0.54299,                 1.2114,                 1.1536,                 1.2185,               0.000713,               0.000713,               0.000713
                     15,                  1.066,                0.95832,                 1.2026,                0.83828,                0.84564,                0.90153,                0.63004,                 1.0805,                0.87273,                 1.1585,               0.000614,               0.000614,               0.000614
                     16,                 1.0181,                0.91823,                 1.1449,                0.84701,                 0.8255,                0.90566,                0.64739,                 1.0646,                0.82392,                 1.1449,               0.000515,               0.000515,               0.000515
                     17,                 1.0166,                0.88397,                 1.1665,                0.86062,                0.87029,                0.92066,                0.66049,                 1.0336,                0.80463,                 1.1213,               0.000416,               0.000416,               0.000416
                     18,                 1.0007,                0.83348,                 1.1399,                0.88599,                0.88668,                0.94665,                0.66716,                 1.0412,                0.74547,                 1.1149,               0.000317,               0.000317,               0.000317
                     19,                0.98892,                0.81699,                 1.1361,                0.87064,                 0.9034,                0.94942,                0.67582,                 1.0196,                0.71805,                  1.102,               0.000218,               0.000218,               0.000218
                     20,                0.98161,                0.79773,                 1.1421,                0.86614,                0.89933,                0.95231,                0.68341,                 1.0007,                0.70529,                 1.0937,               0.000119,               0.000119,               0.000119
