                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2549,                 1.1731,                 1.2759,                0.81906,                0.72913,                0.85934,                0.58224,                 1.1289,                0.94696,                  1.163,                0.00022,                0.00022,                0.00022
                      2,                 1.2828,                 1.1786,                 1.3195,                 0.9089,                0.55705,                0.75586,                0.48946,                 1.2112,                 1.2071,                 1.2335,             0.00043723,             0.00043723,             0.00043723
                      3,                 1.2222,                 1.1734,                 1.2685,                 0.7492,                0.63758,                0.74727,                0.46743,                 1.3553,                 1.2234,                 1.3022,              0.0006307,              0.0006307,              0.0006307
                      4,                  1.216,                 1.1017,                 1.2468,                0.84666,                0.57718,                 0.7318,                0.46575,                 1.2746,                 1.2072,                 1.2552,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.1928,                 1.1095,                  1.243,                0.69282,                0.61745,                0.69349,                0.40892,                 1.3658,                 1.3368,                 1.3256,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.2408,                 1.1081,                 1.2448,                0.66576,                0.66842,                0.70689,                0.38721,                  1.518,                 1.3601,                 1.4322,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.2637,                 1.1509,                  1.271,                0.68046,                0.65101,                0.69925,                 0.4038,                 1.4506,                 1.3049,                 1.4262,               0.001167,               0.001167,               0.001167
                      8,                 1.2374,                 1.1314,                 1.3001,                0.75293,                0.67494,                0.75648,                0.45272,                 1.3419,                 1.2411,                 1.3523,              0.0012416,              0.0012416,              0.0012416
                      9,                 1.2725,                 1.1695,                 1.2796,                0.82129,                0.59732,                0.70723,                0.41475,                 1.4002,                 1.3095,                 1.3917,               0.001208,               0.001208,               0.001208
                     10,                  1.248,                 1.1466,                 1.2769,                0.84346,                0.51007,                0.66426,                0.38426,                   1.46,                 1.4098,                 1.4141,               0.001109,               0.001109,               0.001109
                     11,                 1.2443,                 1.1554,                 1.2687,                0.78842,                0.54362,                0.66717,                 0.4179,                 1.3855,                 1.4588,                 1.3626,                0.00101,                0.00101,                0.00101
                     12,                 1.1405,                 1.1058,                 1.2086,                0.77538,                0.62552,                0.71948,                0.43977,                 1.3528,                 1.2844,                 1.3359,               0.000911,               0.000911,               0.000911
                     13,                 1.1343,                 1.0055,                 1.2008,                0.80176,                 0.6786,                0.77109,                0.48885,                 1.2878,                 1.3024,                 1.2933,               0.000812,               0.000812,               0.000812
                     14,                 1.1079,                0.95426,                 1.1842,                0.87548,                0.61745,                0.76065,                0.46392,                 1.2969,                 1.2381,                  1.292,               0.000713,               0.000713,               0.000713
                     15,                 1.1258,                0.92861,                 1.1935,                0.78973,                0.60403,                0.75626,                0.46115,                 1.3312,                 1.2502,                 1.3204,               0.000614,               0.000614,               0.000614
                     16,                 1.0678,                0.89332,                 1.1648,                0.74095,                0.69106,                 0.7624,                0.47139,                 1.3511,                 1.2441,                 1.3211,               0.000515,               0.000515,               0.000515
                     17,                 1.0588,                0.86859,                 1.1667,                0.74657,                0.62416,                 0.7475,                0.47512,                 1.3135,                 1.2103,                 1.2853,               0.000416,               0.000416,               0.000416
                     18,                 1.0722,                0.86991,                 1.1467,                 0.9065,                0.58564,                0.77697,                0.49799,                 1.2777,                 1.1372,                 1.2633,               0.000317,               0.000317,               0.000317
                     19,                 1.0243,                 0.8444,                 1.1225,                0.75712,                0.71132,                0.79299,                0.51843,                 1.2514,                 1.1097,                 1.2394,               0.000218,               0.000218,               0.000218
                     20,                 1.0034,                0.84171,                 1.1445,                0.78192,                0.72483,                0.80699,                0.51993,                 1.2482,                 1.1046,                 1.2314,               0.000119,               0.000119,               0.000119
