                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0737,                0.89872,                 1.1718,                0.91422,                 0.8044,                0.92123,                  0.657,                0.98861,                0.74086,                 1.0956,                0.00034,                0.00034,                0.00034
                      2,                 1.0589,                0.84189,                 1.1628,                0.85502,                0.77894,                0.88628,                0.62678,                 1.0392,                0.80683,                 1.1285,             0.00066535,             0.00066535,             0.00066535
                      3,                 1.0846,                0.88748,                 1.1743,                0.73871,                0.76887,                0.79816,                0.51764,                 1.2126,                 1.0262,                 1.2381,             0.00095506,             0.00095506,             0.00095506
                      4,                  1.136,                0.95215,                  1.211,                0.79167,                0.69811,                0.80273,                0.52282,                 1.2253,                 1.0775,                 1.2579,              0.0012091,              0.0012091,              0.0012091
                      5,                 1.1478,                0.99741,                 1.2306,                0.82075,                0.74528,                0.83361,                0.54413,                 1.1378,                0.94883,                 1.1889,              0.0014276,              0.0014276,              0.0014276
                      6,                 1.1592,                 1.0033,                 1.2147,                0.82064,                0.70283,                0.80062,                0.49236,                 1.2588,                 1.2484,                 1.2468,               0.001505,               0.001505,               0.001505
                      7,                 1.1734,                 1.0141,                 1.2159,                0.78423,                0.76887,                0.85393,                0.54457,                 1.2142,                 1.3108,                 1.2401,               0.001406,               0.001406,               0.001406
                      8,                 1.1844,                 1.0403,                 1.2433,                0.75761,                0.65094,                0.77527,                0.48448,                 1.1696,                 1.4158,                 1.2306,               0.001307,               0.001307,               0.001307
                      9,                 1.1636,                 1.0281,                 1.2357,                0.64726,                0.75472,                 0.7827,                 0.5074,                 1.1492,                 1.2048,                 1.2124,               0.001208,               0.001208,               0.001208
                     10,                 1.1103,                0.95126,                 1.2074,                0.82219,                0.78302,                0.87927,                0.58292,                 1.0978,                 1.0405,                 1.2087,               0.001109,               0.001109,               0.001109
                     11,                 1.0847,                0.98663,                 1.2059,                0.80672,                0.70876,                0.83482,                0.56267,                  1.137,                 0.9452,                 1.2369,                0.00101,                0.00101,                0.00101
                     12,                 1.0514,                0.88297,                  1.164,                0.78699,                0.87135,                0.91546,                 0.6309,                  1.023,                0.79132,                 1.1392,               0.000911,               0.000911,               0.000911
                     13,                 1.0562,                0.85504,                 1.1369,                0.86057,                0.69811,                 0.8383,                0.57256,                 1.0721,                0.92188,                 1.1449,               0.000812,               0.000812,               0.000812
                     14,                  1.031,                0.80995,                 1.1574,                0.82024,                0.86792,                0.92396,                0.68918,                0.95781,                 0.7158,                 1.0723,               0.000713,               0.000713,               0.000713
                     15,                 1.0159,                0.77182,                 1.1309,                0.88348,                0.85377,                0.93731,                0.68452,                0.97021,                0.69057,                 1.0763,               0.000614,               0.000614,               0.000614
                     16,                0.99529,                 0.7453,                 1.1237,                0.88775,                0.85801,                0.94522,                0.70174,                 0.9369,                0.69129,                 1.0662,               0.000515,               0.000515,               0.000515
                     17,                0.96008,                0.74677,                 1.0984,                 0.9132,                0.88679,                0.96049,                0.71228,                0.90912,                0.62422,                 1.0532,               0.000416,               0.000416,               0.000416
                     18,                0.94719,                0.70828,                 1.0979,                0.89967,                0.93396,                0.97138,                0.71616,                0.90195,                0.60449,                 1.0483,               0.000317,               0.000317,               0.000317
                     19,                0.92054,                0.68099,                  1.079,                0.93515,                0.90566,                0.97571,                0.72318,                0.89387,                0.58516,                 1.0436,               0.000218,               0.000218,               0.000218
                     20,                0.92406,                 0.6716,                 1.0869,                0.90796,                0.93061,                0.97775,                0.73454,                0.88045,                0.56718,                 1.0333,               0.000119,               0.000119,               0.000119
