                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2507,                  1.095,                 1.2771,                0.82056,                0.70591,                0.83516,                0.53496,                 1.1838,                 1.0469,                 1.2095,                0.00022,                0.00022,                0.00022
                      2,                 1.2185,                 1.0673,                 1.2757,                0.75897,                0.67114,                0.76508,                0.50725,                 1.2157,                 1.1902,                 1.2289,             0.00043723,             0.00043723,             0.00043723
                      3,                 1.1491,                 1.0541,                 1.2368,                0.76835,                0.66783,                0.77531,                0.50567,                 1.2321,                 1.1016,                 1.2295,              0.0006307,              0.0006307,              0.0006307
                      4,                 1.1622,                 1.0161,                 1.2226,                0.73586,                 0.5302,                0.64486,                0.41578,                 1.2741,                 1.3378,                 1.2844,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.1565,                 1.0231,                 1.2347,                 0.6578,                 0.5302,                0.60137,                0.38186,                 1.3885,                 1.6349,                 1.3561,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.1744,                 1.0176,                 1.2153,                0.72837,                0.59391,                0.69071,                0.40509,                 1.4591,                 1.4027,                 1.3875,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.1853,                 1.0592,                 1.2322,                0.71686,                 0.7047,                0.74298,                0.44175,                  1.426,                 1.2473,                 1.3957,               0.001167,               0.001167,               0.001167
                      8,                 1.2086,                 1.0651,                 1.2822,                0.66488,                0.60403,                0.62302,                 0.3755,                 1.5074,                 1.5204,                 1.4071,              0.0012416,              0.0012416,              0.0012416
                      9,                 1.2348,                  1.096,                  1.257,                0.49736,                0.49808,                0.48051,                0.27303,                 1.6369,                 1.8833,                 1.5804,               0.001208,               0.001208,               0.001208
                     10,                  1.223,                  1.079,                 1.2521,                0.85463,                0.52349,                0.64987,                0.39669,                 1.4246,                 1.4969,                  1.408,               0.001109,               0.001109,               0.001109
                     11,                 1.1775,                 1.1207,                  1.241,                0.71867,                 0.6172,                0.68075,                0.41919,                 1.4531,                 1.3675,                 1.4238,                0.00101,                0.00101,                0.00101
                     12,                 1.1126,                 1.0537,                 1.1964,                0.73704,                 0.5906,                0.67682,                0.40583,                 1.4238,                  1.328,                 1.3565,               0.000911,               0.000911,               0.000911
                     13,                 1.1001,                0.96068,                 1.1902,                0.77245,                0.63087,                0.71981,                0.44939,                 1.3358,                 1.3231,                 1.2899,               0.000812,               0.000812,               0.000812
                     14,                  1.076,                0.89115,                 1.1704,                0.81455,                0.61074,                0.74114,                0.45118,                 1.3503,                 1.2648,                 1.3296,               0.000713,               0.000713,               0.000713
                     15,                 1.0856,                0.89293,                 1.1755,                0.76832,                0.65772,                0.74563,                0.45269,                 1.3099,                  1.195,                 1.3064,               0.000614,               0.000614,               0.000614
                     16,                 1.0528,                0.86192,                 1.1478,                0.69561,                0.73154,                0.77584,                0.48154,                 1.2593,                 1.1707,                 1.2661,               0.000515,               0.000515,               0.000515
                     17,                 1.0192,                 0.8308,                 1.1437,                0.81897,                0.63087,                0.78787,                0.48227,                 1.2637,                 1.1321,                 1.2784,               0.000416,               0.000416,               0.000416
                     18,                 1.0256,                0.82452,                 1.1128,                0.74505,                0.67785,                0.78631,                 0.4905,                 1.2537,                 1.1329,                 1.2493,               0.000317,               0.000317,               0.000317
                     19,                0.98797,                0.77926,                 1.1041,                0.79642,                0.68264,                0.78809,                0.51108,                 1.2238,                 1.1147,                 1.2212,               0.000218,               0.000218,               0.000218
                     20,                0.95117,                0.77694,                 1.1138,                0.73505,                0.71812,                0.80065,                0.51956,                 1.2117,                  1.085,                 1.2129,               0.000119,               0.000119,               0.000119
