                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3995,                  1.196,                 1.3594,                0.82825,                0.77181,                0.88404,                 0.6106,                 1.0956,                0.86536,                 1.1741,                0.00022,                0.00022,                0.00022
                      2,                 1.2946,                  1.109,                 1.3147,                0.87103,                0.68456,                0.85598,                0.58792,                 1.0806,                0.91853,                 1.1345,             0.00043723,             0.00043723,             0.00043723
                      3,                 1.2918,                 1.1074,                 1.2676,                0.77738,                0.65622,                0.79579,                0.51744,                 1.1608,                 1.0612,                 1.1957,              0.0006307,              0.0006307,              0.0006307
                      4,                 1.2698,                 1.1344,                 1.2705,                0.68725,                0.63417,                0.71589,                0.42954,                 1.3052,                 1.6531,                 1.2666,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.3321,                 1.1775,                 1.2946,                 0.8521,                0.57999,                0.73513,                0.48165,                 1.2843,                 1.2076,                 1.2726,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.2711,                 1.1513,                 1.2899,                0.73292,                0.60778,                0.67585,                0.40805,                 1.4008,                 1.4499,                 1.3921,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.2953,                 1.1274,                 1.2733,                0.65309,                0.50336,                0.58732,                0.34173,                 1.3981,                 1.5826,                 1.3803,               0.001167,               0.001167,               0.001167
                      8,                 1.2958,                 1.1351,                 1.2752,                0.74797,                0.48322,                0.56728,                0.32515,                 1.4533,                  1.675,                 1.4651,              0.0012416,              0.0012416,              0.0012416
                      9,                 1.2372,                 1.0325,                 1.2277,                0.68025,                0.59968,                0.64754,                0.39805,                 1.3579,                 1.4682,                 1.3525,               0.001208,               0.001208,               0.001208
                     10,                   1.27,                 1.0863,                 1.2568,                0.72229,                0.62416,                0.65021,                0.38875,                 1.3541,                 1.4488,                 1.3552,               0.001109,               0.001109,               0.001109
                     11,                 1.2407,                 1.1492,                  1.243,                0.80547,                0.57718,                0.69838,                0.40698,                 1.4556,                  1.386,                 1.3753,                0.00101,                0.00101,                0.00101
                     12,                 1.1858,                  1.037,                 1.2124,                0.81588,                0.61074,                0.73783,                 0.4576,                 1.3533,                 1.2718,                 1.3438,               0.000911,               0.000911,               0.000911
                     13,                 1.1584,                0.94922,                 1.1898,                0.81969,                0.57718,                0.72088,                0.42155,                 1.3711,                 1.4336,                 1.3484,               0.000812,               0.000812,               0.000812
                     14,                 1.1364,                0.97114,                 1.1639,                0.88738,                0.55705,                0.76298,                0.45897,                 1.3542,                 1.2522,                 1.3167,               0.000713,               0.000713,               0.000713
                     15,                 1.0858,                0.90189,                 1.1381,                0.77971,                0.64141,                  0.764,                 0.4755,                 1.2973,                 1.1779,                 1.2788,               0.000614,               0.000614,               0.000614
                     16,                 1.0951,                0.89906,                 1.1414,                0.66285,                0.74497,                0.75905,                0.48315,                 1.2897,                 1.1523,                 1.2767,               0.000515,               0.000515,               0.000515
                     17,                 1.0831,                0.87274,                 1.1587,                0.79453,                0.67479,                0.76283,                0.48322,                 1.2746,                 1.1321,                 1.2709,               0.000416,               0.000416,               0.000416
                     18,                 1.0589,                0.81966,                 1.1141,                0.74793,                0.67709,                0.76052,                0.50306,                 1.2106,                 1.0535,                 1.2155,               0.000317,               0.000317,               0.000317
                     19,                0.98897,                0.77647,                 1.0859,                0.81154,                0.67114,                0.78281,                0.52077,                 1.1564,                 1.0308,                 1.1849,               0.000218,               0.000218,               0.000218
                     20,                 1.0212,                0.77349,                 1.1094,                0.76351,                0.69799,                0.77949,                 0.5239,                 1.1455,                 1.0462,                 1.1823,               0.000119,               0.000119,               0.000119
