                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4272,                 1.2142,                 1.3933,                0.85946,                0.80537,                 0.8989,                0.59235,                 1.1338,                0.84045,                 1.2061,                0.00022,                0.00022,                0.00022
                      2,                  1.308,                 1.1214,                 1.3054,                0.81869,                0.81208,                0.88501,                0.57508,                 1.1253,                0.89921,                  1.182,             0.00043723,             0.00043723,             0.00043723
                      3,                 1.3142,                 1.1268,                 1.2842,                 0.7621,                  0.774,                0.85344,                 0.5365,                 1.2238,                  1.013,                 1.2229,              0.0006307,              0.0006307,              0.0006307
                      4,                 1.3194,                 1.1102,                 1.2749,                0.73576,                0.71812,                0.79801,                0.46617,                 1.3901,                 1.1822,                 1.3138,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.3837,                 1.1556,                 1.3254,                0.75792,                0.66443,                0.76335,                 0.4765,                  1.297,                 1.1977,                 1.2739,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.3225,                 1.1591,                 1.2899,                0.69432,                0.63758,                0.69843,                0.40138,                 1.4417,                 1.4277,                 1.3711,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.2718,                 1.1188,                 1.2705,                0.72892,                0.63087,                0.71228,                0.42088,                 1.4346,                 1.5141,                  1.365,               0.001167,               0.001167,               0.001167
                      8,                 1.3187,                  1.128,                 1.3305,                  0.702,                0.62416,                0.67783,                0.39804,                 1.5089,                 1.5266,                 1.4218,              0.0012416,              0.0012416,              0.0012416
                      9,                  1.317,                 1.0844,                 1.2817,                 0.6062,                0.64054,                0.63375,                0.36252,                 1.4432,                 1.7139,                  1.358,               0.001208,               0.001208,               0.001208
                     10,                 1.3069,                 1.1323,                 1.3031,                0.68092,                0.65101,                0.70328,                0.41669,                 1.4126,                 1.5353,                 1.3332,               0.001109,               0.001109,               0.001109
                     11,                 1.2855,                 1.1032,                 1.2838,                 0.7683,                0.62312,                0.73471,                0.43518,                 1.3675,                 1.3411,                 1.3395,                0.00101,                0.00101,                0.00101
                     12,                 1.1952,                 1.0571,                 1.2263,                0.72597,                 0.7112,                0.73424,                0.44668,                 1.3214,                 1.2859,                 1.3107,               0.000911,               0.000911,               0.000911
                     13,                 1.2057,                0.99405,                 1.2687,                0.75438,                0.70086,                0.76576,                0.46795,                 1.2886,                 1.2725,                 1.3004,               0.000812,               0.000812,               0.000812
                     14,                 1.1637,                0.94647,                 1.1656,                0.78495,                0.66145,                0.73673,                0.45287,                 1.3062,                 1.2453,                 1.3319,               0.000713,               0.000713,               0.000713
                     15,                 1.1609,                0.92389,                 1.2005,                0.80501,                0.63758,                0.75065,                0.47891,                 1.3218,                 1.2476,                 1.3129,               0.000614,               0.000614,               0.000614
                     16,                 1.1238,                0.92801,                 1.1848,                0.84006,                 0.6443,                0.75542,                0.47943,                 1.3132,                 1.1925,                 1.2904,               0.000515,               0.000515,               0.000515
                     17,                 1.0774,                0.83129,                 1.1357,                 0.8328,                 0.7047,                0.81013,                0.50831,                  1.311,                 1.0418,                  1.274,               0.000416,               0.000416,               0.000416
                     18,                 1.0573,                0.79774,                 1.1173,                0.78073,                0.74081,                0.81561,                0.52336,                 1.2882,                 1.0176,                 1.2677,               0.000317,               0.000317,               0.000317
                     19,                0.98956,                0.76016,                 1.0848,                 0.7961,                 0.7337,                 0.8269,                0.53648,                 1.2436,                0.98194,                 1.2495,               0.000218,               0.000218,               0.000218
                     20,                0.98867,                0.73135,                 1.1103,                0.78518,                0.73826,                0.82345,                0.54304,                 1.2109,                0.98801,                 1.2318,               0.000119,               0.000119,               0.000119
