                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1122,                 1.0802,                 1.2185,                 0.8257,                0.75839,                 0.8561,                0.57145,                 1.1294,                0.96154,                 1.1691,                0.00022,                0.00022,                0.00022
                      2,                 1.0353,                0.96677,                 1.2089,                0.83127,                0.79354,                0.89014,                0.59224,                 1.1509,                0.94328,                 1.1974,             0.00043723,             0.00043723,             0.00043723
                      3,                 1.0352,                0.92581,                 1.1915,                  0.782,                0.77181,                0.84286,                0.55732,                  1.145,                0.95884,                 1.1964,              0.0006307,              0.0006307,              0.0006307
                      4,                  1.077,                0.88982,                 1.1676,                0.84282,                0.71141,                0.80467,                0.54567,                 1.1135,                 1.0185,                 1.1797,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.1624,                 1.0196,                 1.2327,                0.78438,                0.74497,                0.81399,                0.52653,                 1.2454,                 1.0249,                 1.2363,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.1504,                 1.0194,                 1.2426,                0.72575,                0.66443,                0.73095,                 0.4306,                 1.2971,                 1.2733,                 1.3451,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.1617,                 1.0565,                 1.2297,                0.77951,                0.67785,                0.77365,                0.51586,                  1.163,                 1.1151,                 1.1958,               0.001167,               0.001167,               0.001167
                      8,                 1.1059,                0.99422,                 1.1879,                 0.7944,                0.70015,                0.79852,                0.51624,                 1.1994,                 1.1373,                 1.2169,              0.0012416,              0.0012416,              0.0012416
                      9,                 1.1375,                  1.005,                 1.2201,                0.74344,                0.71812,                0.81388,                0.53317,                 1.2203,                 1.1764,                 1.2372,               0.001208,               0.001208,               0.001208
                     10,                 1.2301,                   1.09,                 1.2998,                0.78926,                0.65772,                0.75414,                0.49025,                 1.2211,                 1.3332,                 1.2349,               0.001109,               0.001109,               0.001109
                     11,                 1.1356,                 1.1184,                 1.2191,                0.82335,                 0.6569,                0.79356,                0.51469,                 1.2162,                 1.1048,                 1.2154,                0.00101,                0.00101,                0.00101
                     12,                 1.0575,                 1.0026,                  1.177,                0.84899,                0.73154,                0.86205,                0.58609,                 1.1568,                0.93442,                 1.1578,               0.000911,               0.000911,               0.000911
                     13,                 1.0838,                0.96063,                  1.196,                0.83452,                0.81879,                0.89097,                0.59014,                  1.153,                 1.0074,                 1.1763,               0.000812,               0.000812,               0.000812
                     14,                 1.0387,                0.87764,                 1.1482,                0.83173,                 0.8255,                0.89457,                0.60427,                  1.102,                0.94776,                 1.1413,               0.000713,               0.000713,               0.000713
                     15,                 1.0117,                0.84441,                 1.1508,                0.82258,                0.80906,                0.88311,                0.61671,                 1.0747,                0.89452,                 1.1275,               0.000614,               0.000614,               0.000614
                     16,                 1.0309,                0.84791,                 1.1447,                0.85698,                 0.8445,                0.90825,                0.65152,                 1.0468,                0.81818,                 1.1046,               0.000515,               0.000515,               0.000515
                     17,                 1.0138,                0.80955,                 1.1522,                0.88705,                0.87919,                0.94325,                 0.6777,                 1.0183,                0.73113,                  1.094,               0.000416,               0.000416,               0.000416
                     18,                0.97824,                0.74295,                 1.1195,                0.90399,                0.88469,                0.95057,                0.68557,                0.98238,                0.66121,                 1.0705,               0.000317,               0.000317,               0.000317
                     19,                0.97735,                0.75929,                 1.1306,                0.91999,                0.87919,                 0.9535,                0.70753,                0.97315,                0.66661,                 1.0602,               0.000218,               0.000218,               0.000218
                     20,                0.95438,                0.72616,                 1.1296,                0.88491,                0.91275,                0.95998,                0.71659,                0.95317,                0.64152,                 1.0471,               0.000119,               0.000119,               0.000119
