                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3343,                 1.1733,                 1.3093,                0.79763,                0.81806,                0.89033,                0.61747,                  1.047,                0.84258,                 1.1333,                0.00034,                0.00034,                0.00034
                      2,                 1.3211,                 1.1103,                 1.2991,                0.81524,                0.74057,                0.87299,                0.59245,                 1.0506,                0.87494,                 1.1447,             0.00066535,             0.00066535,             0.00066535
                      3,                 1.3656,                  1.192,                 1.3497,                0.78661,                0.70755,                0.80874,                0.51866,                 1.1949,                  1.286,                 1.2183,             0.00095506,             0.00095506,             0.00095506
                      4,                 1.3931,                 1.2411,                 1.3563,                0.76093,                0.70563,                0.78965,                0.49859,                 1.1824,                 1.2401,                 1.2439,              0.0012091,              0.0012091,              0.0012091
                      5,                 1.3462,                 1.2098,                 1.3222,                0.63751,                0.65566,                0.68379,                0.39594,                 1.4006,                 1.3898,                 1.4233,              0.0014276,              0.0014276,              0.0014276
                      6,                  1.342,                 1.2133,                 1.3382,                0.78142,                0.62393,                0.72431,                0.45314,                 1.2612,                 1.1776,                 1.3027,               0.001505,               0.001505,               0.001505
                      7,                 1.3096,                  1.178,                 1.3324,                0.72947,                0.58019,                0.67645,                0.39973,                 1.3509,                 1.3747,                  1.321,               0.001406,               0.001406,               0.001406
                      8,                 1.3374,                 1.1621,                 1.3091,                0.76523,                0.56132,                0.71429,                0.43428,                 1.2701,                 1.2577,                 1.2737,               0.001307,               0.001307,               0.001307
                      9,                 1.3435,                 1.1821,                 1.3328,                 0.6311,                 0.6133,                0.61771,                0.37167,                 1.3511,                 1.6317,                 1.3475,               0.001208,               0.001208,               0.001208
                     10,                 1.2801,                 1.1931,                 1.3181,                0.75915,                0.66981,                0.76389,                0.47474,                 1.2806,                 1.2981,                 1.3017,               0.001109,               0.001109,               0.001109
                     11,                 1.2468,                 1.1459,                 1.2906,                0.75321,                0.64151,                0.74101,                0.47923,                 1.2565,                 1.1777,                 1.2957,                0.00101,                0.00101,                0.00101
                     12,                 1.2328,                 1.0477,                 1.2768,                0.79082,                0.66038,                0.75934,                0.45739,                 1.3107,                 1.1706,                  1.348,               0.000911,               0.000911,               0.000911
                     13,                  1.189,                 1.0101,                 1.2273,                0.71859,                0.70755,                0.76665,                0.47501,                 1.2662,                 1.2083,                 1.3202,               0.000812,               0.000812,               0.000812
                     14,                 1.1494,                0.95314,                 1.2178,                0.84791,                0.65742,                  0.794,                0.49542,                 1.2596,                 1.1193,                 1.3016,               0.000713,               0.000713,               0.000713
                     15,                 1.1606,                0.92453,                 1.2194,                0.73773,                0.71226,                0.79692,                  0.499,                 1.2223,                 1.0879,                 1.2894,               0.000614,               0.000614,               0.000614
                     16,                 1.1076,                0.90868,                 1.1915,                0.80444,                0.67911,                0.79627,                0.49472,                 1.2259,                 1.0717,                 1.2676,               0.000515,               0.000515,               0.000515
                     17,                  1.088,                0.84627,                 1.1728,                0.75437,                 0.7217,                0.81351,                0.50796,                 1.2419,                 1.0124,                 1.2779,               0.000416,               0.000416,               0.000416
                     18,                 1.0528,                0.80785,                 1.1581,                 0.7785,                0.71698,                0.81739,                0.51337,                 1.2284,                0.97805,                 1.2497,               0.000317,               0.000317,               0.000317
                     19,                 1.0348,                0.79537,                 1.1376,                0.78252,                0.72982,                0.81961,                0.52356,                 1.1943,                0.96165,                 1.2189,               0.000218,               0.000218,               0.000218
                     20,                 1.0062,                0.78101,                 1.1186,                0.75128,                0.71698,                0.82398,                0.53384,                 1.1804,                 0.9612,                 1.2047,               0.000119,               0.000119,               0.000119
