                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0462,                0.97906,                 1.1825,                0.91329,                0.77757,                0.90163,                0.64506,                 1.0274,                0.83791,                  1.112,                0.00022,                0.00022,                0.00022
                      2,                0.90517,                0.76444,                 1.1315,                0.81759,                0.78211,                0.87872,                0.62292,                 1.0315,                0.99962,                 1.1135,             0.00043723,             0.00043723,             0.00043723
                      3,                0.90551,                0.74274,                 1.0963,                0.77564,                0.85235,                0.88314,                0.60625,                  1.084,                0.86379,                   1.15,              0.0006307,              0.0006307,              0.0006307
                      4,                0.96225,                0.76438,                 1.0836,                0.87857,                0.77852,                0.88039,                0.57747,                 1.1665,                0.88607,                 1.1939,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.0432,                0.87603,                 1.1511,                0.89144,                0.79866,                0.88836,                0.56218,                 1.2292,                0.89123,                 1.1866,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.0447,                0.89613,                 1.1608,                0.71316,                0.66748,                0.70815,                0.39486,                 1.3876,                 1.2555,                 1.4291,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.0551,                0.93773,                 1.1649,                0.60764,                0.73796,                0.70866,                0.42634,                 1.3404,                 1.3322,                 1.3701,               0.001167,               0.001167,               0.001167
                      8,                  1.094,                0.92283,                 1.1769,                0.83806,                0.69799,                0.79188,                0.49692,                 1.2654,                 1.1207,                 1.3189,              0.0012416,              0.0012416,              0.0012416
                      9,                 1.0946,                  0.976,                 1.1885,                0.77829,                0.73038,                0.82836,                0.53948,                 1.1758,                 1.1567,                 1.1975,               0.001208,               0.001208,               0.001208
                     10,                  1.134,                 1.0028,                 1.2236,                0.85654,                0.72129,                 0.8474,                0.56045,                 1.1767,                0.97505,                  1.201,               0.001109,               0.001109,               0.001109
                     11,                 1.0941,                 1.0302,                 1.2015,                0.89465,                0.74092,                0.84477,                0.56356,                  1.178,                 1.0032,                 1.1957,                0.00101,                0.00101,                0.00101
                     12,                 1.0257,                0.93014,                 1.1634,                0.87199,                0.72483,                0.85878,                0.58489,                 1.1654,                 0.8824,                 1.1937,               0.000911,               0.000911,               0.000911
                     13,                 1.0532,                0.88066,                 1.1607,                0.87585,                0.71812,                0.85003,                0.56394,                 1.1701,                0.97167,                 1.1912,               0.000812,               0.000812,               0.000812
                     14,                0.99373,                0.85189,                   1.13,                0.88005,                0.72483,                0.87789,                0.62358,                 1.0947,                0.87368,                 1.1597,               0.000713,               0.000713,               0.000713
                     15,                0.96274,                0.80823,                 1.1214,                0.85593,                0.75168,                0.88587,                0.63503,                 1.0237,                0.85424,                 1.0982,               0.000614,               0.000614,               0.000614
                     16,                0.96867,                0.79951,                 1.1048,                0.86684,                0.83221,                0.91935,                0.67143,                0.97809,                0.75102,                 1.0682,               0.000515,               0.000515,               0.000515
                     17,                 0.9574,                0.77503,                 1.1144,                0.85837,                0.81879,                0.92702,                0.68855,                0.95272,                0.72709,                 1.0462,               0.000416,               0.000416,               0.000416
                     18,                0.94958,                0.72679,                 1.0941,                0.91661,                0.81152,                0.94062,                0.70512,                0.94591,                0.69994,                 1.0455,               0.000317,               0.000317,               0.000317
                     19,                0.90828,                 0.7263,                 1.0804,                0.90246,                0.85906,                0.95334,                0.72043,                0.92872,                0.64435,                 1.0402,               0.000218,               0.000218,               0.000218
                     20,                 0.9262,                0.70039,                 1.1089,                0.95134,                0.85906,                0.96249,                0.73033,                  0.913,                0.62103,                 1.0334,               0.000119,               0.000119,               0.000119
