                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0061,                0.79728,                 1.1323,                0.88376,                0.91038,                0.95489,                0.71157,                0.88631,                0.63791,                 1.0395,                0.00034,                0.00034,                0.00034
                      2,                 0.9847,                0.73711,                  1.114,                0.90431,                 0.8066,                0.92631,                0.66962,                 0.9682,                0.68934,                 1.0972,             0.00066535,             0.00066535,             0.00066535
                      3,                0.97987,                0.76853,                 1.1108,                0.78438,                0.75501,                0.83826,                0.56617,                 1.1143,                0.93423,                 1.1665,             0.00095506,             0.00095506,             0.00095506
                      4,                 1.0332,                0.80532,                 1.1583,                0.86852,                0.75943,                0.88437,                0.60369,                 1.1084,                0.87923,                 1.1494,              0.0012091,              0.0012091,              0.0012091
                      5,                 1.0727,                0.87876,                 1.1795,                0.87908,                 0.7783,                0.88994,                0.59513,                 1.1083,                 0.8566,                 1.1918,              0.0014276,              0.0014276,              0.0014276
                      6,                 1.0996,                0.91243,                 1.1836,                0.85624,                0.85377,                0.90771,                 0.6056,                 1.0345,                0.78531,                 1.1458,               0.001505,               0.001505,               0.001505
                      7,                 1.1185,                0.90953,                 1.1951,                0.83216,                0.74837,                0.84951,                 0.5863,                 1.0839,                0.94686,                 1.1418,               0.001406,               0.001406,               0.001406
                      8,                 1.1185,                0.94918,                 1.1939,                  0.807,                0.72976,                0.83536,                0.52737,                 1.1635,                 1.0402,                 1.2308,               0.001307,               0.001307,               0.001307
                      9,                   1.13,                0.93009,                  1.214,                0.86141,                 0.7217,                0.85543,                0.56584,                 1.1886,                 1.0097,                 1.2444,               0.001208,               0.001208,               0.001208
                     10,                 1.0822,                0.90658,                 1.1971,                0.81174,                 0.7729,                 0.8696,                0.58925,                 1.1147,                0.88142,                 1.1731,               0.001109,               0.001109,               0.001109
                     11,                 1.0817,                0.91403,                 1.1954,                0.73358,                0.70136,                0.75286,                0.50729,                 1.1569,                 1.1583,                 1.2237,                0.00101,                0.00101,                0.00101
                     12,                 1.0167,                0.84766,                 1.1309,                0.87137,                0.83078,                0.93685,                0.65616,                 1.0288,                0.76294,                 1.1286,               0.000911,               0.000911,               0.000911
                     13,                 1.0246,                 0.7943,                 1.1131,                0.91686,                0.83019,                0.94655,                0.68961,                0.92743,                0.69165,                 1.0644,               0.000812,               0.000812,               0.000812
                     14,                 1.0014,                0.77627,                 1.1208,                0.84146,                0.90131,                  0.939,                0.69324,                0.92047,                0.68702,                 1.0524,               0.000713,               0.000713,               0.000713
                     15,                0.95926,                0.72625,                 1.1011,                0.90857,                0.84373,                0.93694,                0.69784,                0.90913,                0.67653,                 1.0496,               0.000614,               0.000614,               0.000614
                     16,                0.93223,                0.69366,                 1.0897,                0.85902,                0.91971,                0.96016,                0.71633,                 0.9033,                0.62501,                 1.0552,               0.000515,               0.000515,               0.000515
                     17,                0.94589,                0.69371,                 1.0915,                0.89053,                0.95935,                0.97878,                0.74393,                0.87196,                0.54671,                  1.034,               0.000416,               0.000416,               0.000416
                     18,                0.92273,                0.65266,                 1.0835,                0.91733,                0.94212,                0.97872,                0.74194,                0.84429,                0.53842,                 1.0107,               0.000317,               0.000317,               0.000317
                     19,                0.89477,                0.63778,                 1.0591,                0.90225,                0.94811,                0.97841,                 0.7563,                0.82318,                0.52727,                  1.001,               0.000218,               0.000218,               0.000218
                     20,                0.89752,                0.61681,                 1.0646,                0.90945,                0.94746,                0.97984,                0.76801,                0.80802,                0.50976,                0.99709,               0.000119,               0.000119,               0.000119
