                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1985,                 1.3506,                 1.2789,                0.77279,                0.66443,                0.77023,                 0.4949,                 1.2304,                   1.28,                 1.2616,                0.00022,                0.00022,                0.00022
                      2,                 1.1604,                 1.1925,                 1.3053,                0.76446,                0.68456,                0.77881,                0.50417,                 1.2167,                 1.2234,                 1.2497,             0.00043723,             0.00043723,             0.00043723
                      3,                  1.136,                 1.1499,                 1.2496,                0.86896,                 0.6676,                0.81809,                0.53995,                 1.2487,                 1.0577,                 1.2417,              0.0006307,              0.0006307,              0.0006307
                      4,                 1.2226,                 1.1444,                 1.2473,                0.83354,                0.65772,                0.77626,                0.47898,                 1.2539,                 1.0859,                 1.2754,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.3049,                 1.2751,                 1.3186,                  0.858,                0.68941,                0.76624,                0.48559,                 1.2911,                 1.1973,                 1.2807,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.2262,                 1.2376,                 1.2813,                0.68067,                0.67785,                0.70738,                0.41504,                 1.3943,                 1.3491,                 1.3937,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.2731,                 1.2627,                 1.3177,                0.75947,                0.63758,                0.73472,                0.47914,                 1.2378,                 1.2684,                 1.2527,               0.001167,               0.001167,               0.001167
                      8,                 1.2184,                 1.2046,                 1.2726,                0.81014,                0.55705,                0.72082,                0.44295,                 1.3095,                 1.2677,                 1.3135,              0.0012416,              0.0012416,              0.0012416
                      9,                 1.2382,                 1.1982,                 1.2823,                0.70723,                0.59732,                0.66746,                0.41235,                 1.2996,                 1.3985,                 1.3109,               0.001208,               0.001208,               0.001208
                     10,                 1.2875,                 1.2649,                  1.328,                0.81621,                 0.6443,                0.73987,                0.44095,                 1.3419,                 1.3384,                 1.3381,               0.001109,               0.001109,               0.001109
                     11,                 1.1986,                 1.2793,                 1.2636,                0.71832,                0.65101,                0.71647,                0.45254,                 1.2915,                 1.2662,                 1.2813,                0.00101,                0.00101,                0.00101
                     12,                 1.1446,                 1.2235,                 1.2342,                0.83736,                0.67785,                0.82487,                0.52252,                 1.2202,                  1.088,                 1.2482,               0.000911,               0.000911,               0.000911
                     13,                 1.1252,                 1.1116,                 1.2493,                0.80415,                0.71812,                0.83534,                0.56176,                 1.1483,                  1.034,                 1.2223,               0.000812,               0.000812,               0.000812
                     14,                 1.0855,                 1.0517,                 1.1985,                0.80393,                0.82555,                 0.8655,                0.60559,                  1.099,                 1.0115,                 1.1655,               0.000713,               0.000713,               0.000713
                     15,                 1.0879,                 1.0072,                 1.2051,                0.85057,                 0.7651,                0.86723,                0.59815,                 1.1118,                0.97815,                 1.1593,               0.000614,               0.000614,               0.000614
                     16,                 1.0556,                0.97419,                 1.1564,                0.85046,                0.81208,                0.88148,                0.60859,                 1.0929,                 0.9392,                 1.1422,               0.000515,               0.000515,               0.000515
                     17,                 1.0484,                0.97901,                 1.1719,                0.84593,                0.84757,                 0.9106,                0.63954,                  1.054,                0.87744,                 1.1334,               0.000416,               0.000416,               0.000416
                     18,                 1.0476,                0.89567,                 1.1613,                0.92112,                 0.8255,                0.92847,                0.66288,                 1.0085,                0.79784,                 1.1068,               0.000317,               0.000317,               0.000317
                     19,                0.99388,                0.88724,                 1.1407,                0.91823,                0.82902,                0.93518,                0.67699,                0.99444,                0.75734,                 1.0929,               0.000218,               0.000218,               0.000218
                     20,                 1.0104,                0.84632,                 1.1639,                0.90387,                0.86577,                0.94075,                0.68095,                0.99857,                0.74797,                 1.0965,               0.000119,               0.000119,               0.000119
