                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6041,                  2.452,                 1.5628,                0.75564,                0.17482,                0.32671,                0.16592,                 1.6597,                 2.8053,                 1.8619,             0.00065778,             0.00065778,             0.00065778
                      2,                 1.5238,                 1.8689,                 1.4888,                0.43426,                0.38317,                 0.3402,                0.16796,                 1.7207,                 2.4918,                 1.7455,              0.0013113,              0.0013113,              0.0013113
                      3,                 1.5836,                 1.8278,                 1.5252,                0.05536,                0.30276,                0.03251,                0.01398,                 1.9818,                 5.7923,                 2.0329,              0.0019517,              0.0019517,              0.0019517
                      4,                 1.5414,                 1.6546,                  1.505,                0.57642,                0.50774,                0.55491,                0.29932,                 1.5393,                 2.1609,                  1.462,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5326,                 1.5851,                 1.4801,                0.64799,                0.55402,                0.60915,                0.32683,                 1.5247,                 2.0032,                 1.4829,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4632,                 1.4703,                 1.4368,                 0.6809,                 0.6206,                0.68868,                0.39113,                 1.4207,                 1.7784,                 1.4331,               0.001901,               0.001901,               0.001901
                      7,                 1.4674,                 1.4414,                 1.4334,                0.67151,                0.57035,                0.65305,                0.38533,                 1.3716,                 1.7843,                 1.3684,              0.0018812,              0.0018812,              0.0018812
                      8,                  1.418,                 1.4175,                 1.4047,                0.72462,                0.65075,                0.71954,                0.42374,                 1.3645,                 1.3029,                 1.3842,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4082,                 1.3615,                 1.4053,                0.63719,                0.62186,                0.66318,                0.39583,                 1.4049,                 1.3862,                 1.4199,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4255,                 1.3571,                   1.41,                 0.7229,                0.68169,                0.75397,                0.45865,                 1.3572,                 1.1809,                 1.3752,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.3659,                 1.2644,                 1.3722,                0.77892,                0.63065,                0.74842,                0.45228,                   1.32,                 1.4134,                 1.3312,               0.001802,               0.001802,               0.001802
                     12,                 1.3382,                 1.2438,                 1.3511,                0.82221,                0.69347,                0.81267,                0.50519,                 1.2761,                 1.0815,                 1.3115,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3395,                 1.2314,                 1.3444,                0.76285,                0.63945,                0.73528,                0.44335,                 1.3175,                 1.4236,                 1.3394,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.3196,                 1.2343,                 1.3551,                0.71989,                 0.6748,                0.75447,                0.46505,                 1.2842,                 1.2471,                 1.3219,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3255,                 1.1963,                 1.3373,                0.75593,                0.71983,                0.79819,                0.49899,                 1.2621,                 1.0574,                 1.2938,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3073,                 1.1759,                  1.331,                0.78791,                0.72487,                0.82606,                0.52801,                 1.2109,                 1.0372,                 1.2826,               0.001703,               0.001703,               0.001703
                     17,                 1.2853,                 1.1219,                 1.3179,                 0.7709,                0.69975,                0.80017,                0.51487,                 1.2274,                 1.0491,                 1.2699,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2776,                  1.114,                 1.3085,                0.77645,                0.76005,                0.84505,                0.53878,                 1.2133,                 1.0809,                 1.2839,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.268,                 1.1116,                 1.2953,                0.74751,                0.74121,                  0.813,                0.51048,                 1.2467,                 1.0495,                 1.2657,              0.0016436,              0.0016436,              0.0016436
                     20,                  1.247,                 1.0807,                 1.2919,                0.81385,                0.78542,                0.86491,                0.57079,                 1.1502,                0.86464,                 1.2222,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.2278,                 1.0372,                 1.2799,                0.79192,                0.77638,                0.84779,                0.57068,                 1.1223,                0.90734,                  1.223,               0.001604,               0.001604,               0.001604
                     22,                  1.239,                 1.0477,                 1.2836,                0.81541,                0.77136,                0.86439,                0.57287,                 1.1659,                0.88788,                 1.2171,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.2208,                 1.0542,                 1.2747,                0.83702,                0.72739,                0.84476,                 0.5627,                 1.1532,                0.98221,                 1.2113,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1976,                  1.026,                 1.2633,                0.78322,                0.73077,                0.83673,                 0.5627,                 1.1531,                0.92789,                 1.2137,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1921,                0.99304,                 1.2551,                0.81576,                0.81766,                0.89153,                0.60473,                  1.079,                0.82393,                   1.16,              0.0015248,              0.0015248,              0.0015248
                     26,                  1.199,                 0.9996,                 1.2645,                0.82101,                0.76256,                0.86542,                0.57696,                 1.1438,                0.89977,                 1.2076,               0.001505,               0.001505,               0.001505
                     27,                 1.1903,                0.99621,                 1.2551,                0.84905,                0.74497,                 0.8658,                0.59737,                 1.0941,                0.85716,                 1.1819,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1773,                0.97793,                 1.2531,                0.83606,                 0.7688,                0.87739,                0.59477,                 1.1088,                0.88699,                 1.1828,              0.0014654,              0.0014654,              0.0014654
