                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3241,                 1.1409,                 1.3045,                0.84455,                0.89692,                0.93896,                0.67283,                0.93386,                0.78111,                 1.0709,                0.00034,                0.00034,                0.00034
                      2,                 1.2988,                 1.0717,                 1.2955,                0.86097,                0.73028,                0.86469,                0.59184,                 1.0755,                0.85683,                  1.131,             0.00066535,             0.00066535,             0.00066535
                      3,                 1.3462,                 1.1688,                 1.3436,                0.74697,                0.77358,                0.85903,                0.57691,                 1.1116,                 1.0255,                 1.1608,             0.00095506,             0.00095506,             0.00095506
                      4,                 1.3704,                 1.2033,                 1.3446,                0.83641,                0.72352,                 0.8465,                0.56367,                 1.1037,                 1.0109,                  1.173,              0.0012091,              0.0012091,              0.0012091
                      5,                 1.3272,                 1.1545,                 1.3108,                0.81119,                0.72642,                 0.8018,                0.50908,                 1.2498,                  1.164,                 1.2908,              0.0014276,              0.0014276,              0.0014276
                      6,                 1.3358,                 1.1723,                 1.3213,                0.70341,                0.70481,                0.73219,                0.44884,                 1.2751,                 1.2406,                 1.3363,               0.001505,               0.001505,               0.001505
                      7,                 1.3394,                 1.1185,                 1.3299,                0.81955,                0.63208,                0.74619,                0.45026,                  1.385,                 1.2377,                 1.3371,               0.001406,               0.001406,               0.001406
                      8,                 1.3521,                 1.1267,                 1.3255,                0.73291,                0.59906,                0.69546,                0.43294,                 1.2376,                  1.238,                 1.2975,               0.001307,               0.001307,               0.001307
                      9,                 1.3337,                 1.1711,                 1.3222,                0.77639,                0.58962,                0.67343,                0.39373,                 1.3817,                 1.3662,                 1.3951,               0.001208,               0.001208,               0.001208
                     10,                 1.3131,                 1.1541,                 1.3365,                0.75201,                0.64623,                0.72972,                0.42632,                 1.3313,                 1.2988,                 1.3799,               0.001109,               0.001109,               0.001109
                     11,                 1.2534,                 1.1215,                 1.2915,                0.72946,                0.61321,                0.73309,                 0.4752,                  1.239,                 1.1874,                 1.2886,                0.00101,                0.00101,                0.00101
                     12,                 1.2356,                 1.0394,                 1.2903,                0.77135,                0.69811,                 0.8047,                 0.5117,                 1.2412,                 1.1487,                  1.277,               0.000911,               0.000911,               0.000911
                     13,                 1.1792,                 0.9739,                 1.2324,                0.89485,                0.63679,                0.81318,                0.52268,                 1.2093,                 1.0685,                 1.2963,               0.000812,               0.000812,               0.000812
                     14,                 1.1433,                0.90736,                 1.2115,                 0.8436,                0.66509,                0.80582,                 0.5294,                 1.2046,                0.97752,                 1.2724,               0.000713,               0.000713,               0.000713
                     15,                 1.1472,                0.89384,                 1.2124,                0.84674,                0.67758,                0.82787,                0.54845,                 1.1446,                0.97486,                 1.2151,               0.000614,               0.000614,               0.000614
                     16,                 1.0774,                0.83223,                 1.1547,                0.86446,                0.69197,                0.84699,                0.55461,                 1.1645,                0.93561,                 1.2195,               0.000515,               0.000515,               0.000515
                     17,                 1.0776,                0.79171,                 1.1596,                0.84329,                0.71226,                0.84365,                0.55756,                 1.1549,                0.91998,                 1.2163,               0.000416,               0.000416,               0.000416
                     18,                 1.0461,                0.79059,                 1.1456,                0.84566,                 0.7217,                0.85637,                0.56058,                 1.1438,                 0.8895,                 1.2085,               0.000317,               0.000317,               0.000317
                     19,                 1.0233,                0.75633,                 1.1243,                0.80901,                0.73113,                0.85372,                0.56463,                 1.1305,                0.89516,                 1.2194,               0.000218,               0.000218,               0.000218
                     20,                0.99601,                0.75035,                 1.1211,                0.81467,                0.74643,                0.86437,                0.57249,                 1.1329,                 0.8684,                 1.2122,               0.000119,               0.000119,               0.000119
