                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1565,                 1.0664,                 1.2193,                0.81674,                0.75943,                 0.8514,                0.57125,                 1.1098,                0.91563,                 1.1533,                0.00034,                0.00034,                0.00034
                      2,                 1.1652,                 1.0536,                 1.2713,                0.83816,                 0.7329,                0.84333,                0.58055,                 1.0892,                0.97342,                 1.1648,             0.00066535,             0.00066535,             0.00066535
                      3,                 1.1724,                 1.0973,                 1.2704,                0.71166,                0.73348,                0.79664,                0.51781,                 1.2017,                 1.0672,                 1.2537,             0.00095506,             0.00095506,             0.00095506
                      4,                 1.2371,                  1.153,                 1.2986,                0.79843,                0.74528,                0.83283,                0.53509,                 1.1772,                0.99076,                 1.2253,              0.0012091,              0.0012091,              0.0012091
                      5,                 1.2606,                 1.1694,                 1.2913,                0.80543,                0.72248,                0.82285,                0.51838,                  1.221,                0.98554,                 1.2608,              0.0014276,              0.0014276,              0.0014276
                      6,                 1.2186,                 1.1611,                 1.3017,                0.69203,                0.58962,                0.67522,                 0.4161,                 1.2821,                 1.4217,                 1.3291,               0.001505,               0.001505,               0.001505
                      7,                 1.1981,                 1.1718,                 1.3089,                0.63144,                0.63679,                0.67252,                0.43192,                 1.3285,                 1.2877,                 1.3136,               0.001406,               0.001406,               0.001406
                      8,                 1.2182,                 1.1161,                 1.2749,                0.79029,                0.69811,                0.81862,                0.54134,                 1.1703,                 1.2038,                 1.2342,               0.001307,               0.001307,               0.001307
                      9,                 1.2512,                 1.0919,                 1.3048,                0.82775,                0.66509,                0.82017,                0.53068,                 1.2265,                 1.0509,                 1.2714,               0.001208,               0.001208,               0.001208
                     10,                 1.1908,                 1.0686,                 1.2851,                0.82476,                 0.6934,                0.82587,                0.53755,                 1.1807,                 1.0915,                 1.2244,               0.001109,               0.001109,               0.001109
                     11,                 1.1474,                 1.1422,                 1.2599,                0.75995,                0.78302,                0.84472,                0.53572,                 1.2185,                 1.0996,                 1.2525,                0.00101,                0.00101,                0.00101
                     12,                 1.0989,                 1.0389,                 1.2228,                0.72508,                   0.75,                0.79894,                0.53448,                 1.1231,                 1.2457,                 1.1819,               0.000911,               0.000911,               0.000911
                     13,                   1.09,                0.95411,                 1.2123,                 0.7878,                0.70048,                0.79904,                0.56216,                 1.0723,                 1.3642,                 1.1597,               0.000812,               0.000812,               0.000812
                     14,                 1.0842,                0.98401,                 1.2329,                0.83875,                0.78302,                0.88488,                0.61828,                 1.0429,                0.91379,                 1.1313,               0.000713,               0.000713,               0.000713
                     15,                 1.0181,                0.88701,                 1.1806,                 0.8621,                 0.7962,                0.91287,                0.64191,                 1.0106,                0.88782,                 1.1084,               0.000614,               0.000614,               0.000614
                     16,                 1.0089,                0.84347,                 1.1602,                0.81955,                0.85377,                0.90178,                0.65381,                 0.9987,                0.82018,                 1.1189,               0.000515,               0.000515,               0.000515
                     17,                0.99265,                0.82524,                  1.147,                0.84503,                0.81604,                0.90636,                0.66455,                0.97476,                  0.817,                 1.0964,               0.000416,               0.000416,               0.000416
                     18,                0.99955,                 0.8295,                 1.1473,                0.88804,                0.86055,                0.93719,                0.70133,                0.89975,                0.70474,                 1.0587,               0.000317,               0.000317,               0.000317
                     19,                0.95629,                0.80242,                 1.1306,                0.90422,                0.86792,                0.95471,                 0.7227,                0.88846,                0.66425,                 1.0459,               0.000218,               0.000218,               0.000218
                     20,                0.93065,                0.73057,                 1.1138,                0.90056,                0.89707,                0.96313,                0.73197,                0.88408,                0.64301,                 1.0402,               0.000119,               0.000119,               0.000119
