                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2337,                 1.0313,                 1.2548,                0.77969,                0.83893,                0.89011,                0.61793,                 1.0654,                0.84149,                 1.1279,                0.00022,                0.00022,                0.00022
                      2,                 1.1692,                0.99741,                 1.2492,                0.82069,                0.78523,                0.87317,                0.61518,                  1.042,                0.92347,                 1.1333,             0.00043723,             0.00043723,             0.00043723
                      3,                 1.1651,                 1.0208,                 1.2401,                0.83948,                0.73711,                0.85103,                0.56468,                 1.1373,                0.94558,                 1.1694,              0.0006307,              0.0006307,              0.0006307
                      4,                 1.1967,                 1.0511,                 1.2184,                0.83171,                 0.6443,                0.79677,                0.51359,                 1.1994,                 1.0727,                 1.2398,             0.00080041,             0.00080041,             0.00080041
                      5,                  1.268,                 1.1202,                 1.3133,                0.68905,                0.68413,                0.73494,                0.46974,                 1.1763,                 1.2006,                 1.2323,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.2169,                 1.0562,                 1.2575,                0.71991,                0.67785,                0.74649,                0.46106,                 1.2352,                 1.4454,                 1.2841,              0.0010685,              0.0010685,              0.0010685
                      7,                  1.212,                 1.0477,                 1.2594,                0.66437,                0.73826,                0.72474,                0.42258,                 1.3731,                 1.4807,                 1.3804,               0.001167,               0.001167,               0.001167
                      8,                 1.2362,                 1.0745,                    1.3,                0.80522,                0.65772,                0.76997,                0.47916,                 1.3648,                  1.234,                 1.3428,              0.0012416,              0.0012416,              0.0012416
                      9,                 1.2198,                0.99853,                 1.2185,                 0.8184,                0.63758,                0.75248,                0.48807,                 1.2909,                 1.1566,                 1.2641,               0.001208,               0.001208,               0.001208
                     10,                 1.1744,                 1.0355,                 1.2126,                0.77946,                0.57718,                0.71047,                0.44023,                 1.3827,                  1.259,                 1.3424,               0.001109,               0.001109,               0.001109
                     11,                  1.154,                 1.0585,                 1.2099,                0.62646,                0.65284,                0.64574,                 0.3823,                 1.4226,                 1.4269,                 1.4054,                0.00101,                0.00101,                0.00101
                     12,                 1.1335,                0.99981,                 1.1717,                0.72316,                0.65772,                0.73564,                0.44106,                 1.3927,                 1.1478,                 1.3993,               0.000911,               0.000911,               0.000911
                     13,                 1.0932,                0.93307,                 1.1845,                0.74791,                 0.6969,                0.76469,                0.46546,                 1.3647,                 1.1881,                 1.3938,               0.000812,               0.000812,               0.000812
                     14,                  1.117,                 0.8941,                 1.1596,                 0.9099,                0.61002,                0.80395,                0.48876,                 1.3075,                 1.1647,                 1.3294,               0.000713,               0.000713,               0.000713
                     15,                 1.0526,                0.86908,                 1.1378,                0.79887,                0.73154,                0.81257,                0.51068,                 1.2933,                 1.0723,                 1.3189,               0.000614,               0.000614,               0.000614
                     16,                 1.0083,                 0.8178,                 1.1376,                0.80905,                0.72483,                0.82195,                 0.5237,                  1.265,                 1.0063,                 1.2618,               0.000515,               0.000515,               0.000515
                     17,                0.99564,                 0.7587,                 1.1175,                 0.8376,                0.71141,                0.82589,                0.52576,                 1.2387,                0.97782,                 1.2471,               0.000416,               0.000416,               0.000416
                     18,                0.98693,                0.73641,                 1.0806,                0.80528,                0.77716,                0.85943,                0.54697,                 1.2521,                0.95029,                 1.2689,               0.000317,               0.000317,               0.000317
                     19,                0.95387,                0.73218,                 1.0627,                 0.8616,                0.75209,                0.86389,                0.55582,                  1.226,                0.93457,                 1.2584,               0.000218,               0.000218,               0.000218
                     20,                0.95258,                0.71473,                 1.0942,                0.83242,                0.77852,                0.86465,                0.56306,                 1.2203,                0.93273,                 1.2438,               0.000119,               0.000119,               0.000119
