                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1673,                 1.0485,                 1.2306,                0.78869,                0.80189,                0.88167,                 0.6059,                 1.0778,                0.87975,                 1.1489,                0.00034,                0.00034,                0.00034
                      2,                  1.157,                 1.0185,                 1.2242,                0.83522,                0.73113,                 0.8407,                0.57157,                 1.1005,                0.95903,                 1.1626,             0.00066535,             0.00066535,             0.00066535
                      3,                 1.1878,                 1.0562,                 1.2408,                0.73529,                0.66038,                0.76013,                0.50595,                 1.2325,                 1.1964,                 1.2545,             0.00095506,             0.00095506,             0.00095506
                      4,                 1.1833,                 1.0888,                 1.2474,                0.81196,                0.68868,                0.81923,                0.53111,                 1.2006,                 1.0582,                 1.2632,              0.0012091,              0.0012091,              0.0012091
                      5,                 1.2457,                 1.1266,                 1.2827,                0.84901,                0.71698,                0.83184,                 0.5172,                 1.2421,                0.99777,                 1.2862,              0.0014276,              0.0014276,              0.0014276
                      6,                 1.2611,                 1.1591,                 1.2748,                0.77044,                0.65094,                0.77747,                0.48967,                 1.2472,                 1.1098,                 1.2383,               0.001505,               0.001505,               0.001505
                      7,                 1.2309,                 1.1202,                 1.2637,                0.83299,                0.68868,                0.81453,                0.51387,                  1.255,                 1.0944,                 1.2828,               0.001406,               0.001406,               0.001406
                      8,                 1.2379,                 1.1449,                 1.2834,                0.73643,                0.71698,                0.74706,                0.47065,                 1.2409,                 1.2905,                 1.2996,               0.001307,               0.001307,               0.001307
                      9,                  1.248,                  1.161,                 1.2916,                0.65547,                0.67453,                 0.6918,                0.39436,                 1.3769,                 1.3821,                 1.3643,               0.001208,               0.001208,               0.001208
                     10,                 1.1823,                 1.0584,                 1.2554,                0.81747,                0.76052,                0.85595,                0.56491,                 1.1603,                 1.0059,                 1.2007,               0.001109,               0.001109,               0.001109
                     11,                 1.1562,                 1.1068,                 1.2307,                0.78031,                0.58491,                0.75576,                0.49271,                 1.1688,                 1.1464,                 1.2414,                0.00101,                0.00101,                0.00101
                     12,                 1.1184,                 1.0026,                 1.1963,                 0.7994,                0.73309,                0.83635,                0.56581,                   1.08,                 0.9887,                 1.1435,               0.000911,               0.000911,               0.000911
                     13,                  1.108,                0.96555,                 1.1703,                0.82623,                0.71698,                0.83739,                0.57471,                 1.0569,                 0.9498,                 1.1398,               0.000812,               0.000812,               0.000812
                     14,                  1.094,                 0.9617,                 1.1991,                0.80367,                0.75943,                0.85182,                0.58461,                 1.0504,                0.92725,                 1.1532,               0.000713,               0.000713,               0.000713
                     15,                 1.0689,                0.87986,                  1.179,                0.84658,                0.78085,                0.88281,                0.59064,                 1.0706,                0.89386,                 1.1713,               0.000614,               0.000614,               0.000614
                     16,                 1.0234,                0.83796,                 1.1482,                 0.8473,                0.81136,                 0.9026,                0.62538,                 1.0371,                0.85381,                 1.1403,               0.000515,               0.000515,               0.000515
                     17,                 1.0246,                0.83753,                  1.149,                0.91886,                0.83491,                0.93875,                0.66675,                 1.0034,                0.73204,                 1.1248,               0.000416,               0.000416,               0.000416
                     18,                 1.0027,                0.80343,                 1.1323,                0.88442,                0.87264,                0.94689,                0.67786,                 0.9467,                0.70778,                 1.0939,               0.000317,               0.000317,               0.000317
                     19,                0.98282,                0.75849,                 1.1167,                0.91098,                0.86892,                0.95372,                0.69696,                   0.93,                0.67832,                 1.0822,               0.000218,               0.000218,               0.000218
                     20,                0.97788,                0.73255,                 1.1127,                0.95569,                0.87736,                0.97049,                0.71044,                 0.9172,                0.63296,                 1.0738,               0.000119,               0.000119,               0.000119
