                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2529,                 1.0886,                 1.2643,                0.81746,                0.80269,                 0.8731,                0.59296,                 1.0655,                0.89156,                 1.1495,                0.00034,                0.00034,                0.00034
                      2,                 1.2883,                 1.0942,                 1.2762,                0.72187,                0.78774,                0.82998,                0.58143,                 1.1013,                0.94502,                 1.1514,             0.00066535,             0.00066535,             0.00066535
                      3,                 1.3331,                 1.1427,                 1.3297,                0.79349,                0.74309,                0.84042,                0.55717,                 1.1515,                 1.2662,                 1.1907,             0.00095506,             0.00095506,             0.00095506
                      4,                 1.3794,                 1.1751,                 1.3315,                  0.844,                0.71459,                0.83611,                0.53783,                 1.1978,                  1.019,                 1.2372,              0.0012091,              0.0012091,              0.0012091
                      5,                 1.3334,                 1.1736,                 1.3061,                0.70371,                0.67218,                0.71061,                0.43664,                 1.3128,                 1.2909,                 1.3118,              0.0014276,              0.0014276,              0.0014276
                      6,                 1.3178,                 1.1595,                 1.3053,                0.55933,                0.66981,                0.64219,                0.37873,                 1.3802,                 1.3953,                 1.3862,               0.001505,               0.001505,               0.001505
                      7,                 1.3464,                 1.1285,                 1.3471,                0.73769,                0.54245,                0.64551,                0.37258,                 1.5019,                 1.4137,                 1.4193,               0.001406,               0.001406,               0.001406
                      8,                 1.3674,                 1.1454,                 1.3299,                0.79561,                0.50943,                0.63964,                0.39099,                 1.2942,                 1.3097,                 1.3178,               0.001307,               0.001307,               0.001307
                      9,                 1.3241,                 1.1779,                 1.3015,                0.73849,                0.63208,                0.70427,                0.41963,                 1.3479,                 1.3839,                 1.3429,               0.001208,               0.001208,               0.001208
                     10,                 1.3089,                 1.1296,                 1.3217,                0.64033,                0.63824,                0.67096,                0.38474,                 1.3114,                 1.9761,                  1.341,               0.001109,               0.001109,               0.001109
                     11,                 1.2634,                  1.157,                 1.2937,                0.81334,                0.63717,                0.75556,                0.47426,                 1.2587,                 1.2146,                 1.3098,                0.00101,                0.00101,                0.00101
                     12,                 1.2298,                 1.0944,                 1.2698,                0.71935,                0.64623,                0.75038,                0.46802,                 1.2103,                 1.3812,                 1.2758,               0.000911,               0.000911,               0.000911
                     13,                 1.1718,                0.96066,                 1.2269,                0.79169,                0.68125,                0.77728,                0.49901,                 1.1927,                 1.2371,                   1.26,               0.000812,               0.000812,               0.000812
                     14,                 1.1238,                0.91563,                 1.2002,                0.84191,                0.66981,                0.80801,                0.52666,                 1.1757,                  1.008,                 1.2396,               0.000713,               0.000713,               0.000713
                     15,                 1.0816,                0.87091,                 1.1681,                 0.7179,                0.72023,                0.78902,                0.51043,                 1.1662,                 1.0853,                 1.2343,               0.000614,               0.000614,               0.000614
                     16,                 1.0732,                0.84107,                 1.1611,                 0.8273,                0.68868,                0.80598,                0.54184,                 1.1352,                 1.0316,                 1.2079,               0.000515,               0.000515,               0.000515
                     17,                 1.0749,                0.81974,                 1.1575,                0.81168,                0.67093,                0.78908,                 0.5284,                 1.1458,                 1.0274,                  1.219,               0.000416,               0.000416,               0.000416
                     18,                 1.0251,                0.79937,                 1.1445,                0.79149,                 0.6934,                 0.8006,                0.53743,                  1.124,                 0.9731,                 1.2106,               0.000317,               0.000317,               0.000317
                     19,                 1.0109,                 0.7956,                  1.133,                0.83515,                0.65566,                0.81763,                0.55069,                 1.1376,                0.96905,                 1.2167,               0.000218,               0.000218,               0.000218
                     20,                 1.0133,                0.75108,                 1.1196,                 0.8683,                0.66509,                0.82689,                0.55799,                 1.1151,                 0.9466,                 1.1861,               0.000119,               0.000119,               0.000119
