                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2595,                 1.1201,                 1.2976,                0.86407,                0.74528,                0.86735,                0.58174,                 1.0901,                0.95012,                 1.1743,                0.00034,                0.00034,                0.00034
                      2,                 1.2553,                 1.1289,                 1.2827,                0.77959,                0.76415,                0.82258,                  0.528,                 1.1654,                 1.0146,                 1.2044,             0.00066535,             0.00066535,             0.00066535
                      3,                 1.2524,                  1.125,                  1.299,                0.73614,                0.66509,                0.75777,                0.47247,                  1.296,                 1.3374,                    1.3,             0.00095506,             0.00095506,             0.00095506
                      4,                  1.296,                 1.1977,                 1.3298,                0.74469,                0.58962,                0.72129,                0.42424,                 1.3828,                 1.2362,                 1.3665,              0.0012091,              0.0012091,              0.0012091
                      5,                 1.3462,                 1.2003,                 1.3133,                0.71705,                0.60964,                0.65344,                 0.3898,                 1.3234,                 1.3581,                 1.2916,              0.0014276,              0.0014276,              0.0014276
                      6,                 1.3014,                 1.1663,                 1.2966,                 0.6441,                0.52928,                0.61923,                0.37281,                 1.4157,                 1.4649,                 1.4049,               0.001505,               0.001505,               0.001505
                      7,                 1.3323,                 1.2032,                 1.3117,                0.73733,                0.62264,                 0.6987,                0.39678,                 1.4111,                  1.318,                 1.3777,               0.001406,               0.001406,               0.001406
                      8,                 1.3281,                 1.1869,                 1.3125,                0.76087,                0.58019,                0.68337,                0.39791,                 1.3675,                 1.3244,                 1.3599,               0.001307,               0.001307,               0.001307
                      9,                 1.3025,                 1.1328,                 1.3112,                0.72465,                0.62071,                0.70824,                 0.4274,                 1.3851,                 1.2544,                 1.3598,               0.001208,               0.001208,               0.001208
                     10,                 1.2596,                 1.1096,                 1.2991,                0.70703,                0.56132,                0.67657,                0.41483,                  1.313,                 1.3565,                 1.3425,               0.001109,               0.001109,               0.001109
                     11,                 1.2299,                 1.0935,                 1.2922,                0.76805,                0.59353,                0.71147,                0.44765,                 1.3271,                 1.2786,                 1.3688,                0.00101,                0.00101,                0.00101
                     12,                  1.228,                 1.0454,                 1.2828,                0.59341,                0.56453,                0.62469,                0.38314,                 1.3439,                 1.5567,                 1.3512,               0.000911,               0.000911,               0.000911
                     13,                 1.1908,                 1.0035,                 1.2535,                 0.7702,                0.59434,                0.72173,                0.45464,                 1.3236,                 1.2883,                 1.3272,               0.000812,               0.000812,               0.000812
                     14,                 1.1419,                  0.971,                 1.2202,                0.78425,                0.60377,                0.68206,                0.41247,                 1.3416,                 1.3975,                 1.3573,               0.000713,               0.000713,               0.000713
                     15,                 1.1194,                0.95567,                  1.212,                0.69718,                0.68416,                 0.7533,                0.47314,                 1.3194,                  1.171,                 1.3496,               0.000614,               0.000614,               0.000614
                     16,                 1.0901,                0.88895,                  1.175,                0.84532,                0.64151,                0.77654,                0.49544,                 1.2742,                 1.1157,                 1.3048,               0.000515,               0.000515,               0.000515
                     17,                 1.0869,                0.84381,                 1.1816,                 0.8088,                0.64623,                0.77397,                0.47933,                 1.2934,                 1.1105,                 1.3178,               0.000416,               0.000416,               0.000416
                     18,                 1.0366,                0.82405,                  1.164,                0.84113,                0.66509,                0.77097,                0.48348,                 1.2599,                  1.091,                 1.2772,               0.000317,               0.000317,               0.000317
                     19,                 1.0189,                0.76281,                 1.1162,                0.74196,                0.71226,                0.79339,                0.50815,                 1.2245,                 1.0643,                 1.2582,               0.000218,               0.000218,               0.000218
                     20,                 1.0073,                0.75997,                 1.1308,                0.77215,                0.71698,                  0.815,                0.52003,                  1.204,                 1.0428,                 1.2462,               0.000119,               0.000119,               0.000119
