                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2673,                 1.1736,                 1.2577,                0.69768,                0.75168,                0.79415,                0.51438,                  1.209,                 1.0916,                  1.222,                0.00022,                0.00022,                0.00022
                      2,                 1.1721,                 1.1011,                 1.2322,                 0.7353,                0.67114,                0.76865,                 0.4946,                 1.2257,                  1.131,                 1.2185,             0.00043723,             0.00043723,             0.00043723
                      3,                  1.207,                 1.0825,                 1.2119,                0.77234,                0.65772,                0.75569,                0.47165,                 1.3335,                 1.2456,                 1.2831,              0.0006307,              0.0006307,              0.0006307
                      4,                  1.183,                 1.0898,                 1.2125,                0.60868,                0.48993,                0.55735,                0.31431,                 1.5251,                 1.7455,                   1.43,             0.00080041,             0.00080041,             0.00080041
                      5,                  1.253,                  1.133,                 1.2441,                0.65721,                0.53691,                0.62016,                0.36806,                 1.4813,                 1.5065,                 1.4324,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.1793,                 1.1299,                 1.2238,                0.69243,                0.57418,                0.68222,                0.38898,                  1.444,                  1.462,                 1.4183,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.2261,                 1.0786,                 1.2438,                0.71123,                0.53691,                0.59246,                0.34399,                 1.5035,                 1.5459,                 1.4971,               0.001167,               0.001167,               0.001167
                      8,                 1.2595,                 1.1265,                 1.2557,                0.65343,                0.51007,                0.59496,                0.30681,                 1.6494,                 1.5664,                 1.5646,              0.0012416,              0.0012416,              0.0012416
                      9,                 1.2207,                 1.0699,                 1.2098,                0.73539,                0.51007,                0.59643,                0.33994,                 1.4858,                 1.5086,                 1.4104,               0.001208,               0.001208,               0.001208
                     10,                 1.2569,                  1.127,                 1.2531,                 0.6693,                0.52349,                0.59307,                0.34521,                 1.4637,                 1.4952,                 1.3931,               0.001109,               0.001109,               0.001109
                     11,                 1.2145,                 1.2242,                 1.2509,                0.56723,                0.65772,                0.64198,                0.36445,                 1.5028,                 1.3876,                 1.4829,                0.00101,                0.00101,                0.00101
                     12,                 1.1423,                  1.077,                 1.2056,                0.76262,                 0.5906,                0.70013,                0.41236,                 1.4606,                 1.3687,                 1.4544,               0.000911,               0.000911,               0.000911
                     13,                 1.1368,                 1.0023,                 1.1691,                0.71805,                0.55705,                0.66844,                0.36867,                 1.4631,                 1.6473,                 1.4574,               0.000812,               0.000812,               0.000812
                     14,                 1.1111,                 1.0479,                 1.1646,                0.68943,                0.57718,                0.67133,                0.39724,                 1.4126,                 1.5672,                 1.4263,               0.000713,               0.000713,               0.000713
                     15,                 1.0801,                0.96629,                 1.1648,                0.72325,                0.61074,                  0.698,                0.41924,                 1.4151,                 1.4841,                 1.3988,               0.000614,               0.000614,               0.000614
                     16,                  1.085,                0.92922,                 1.1422,                  0.716,                0.67785,                0.72034,                0.42772,                 1.3933,                 1.3455,                 1.4025,               0.000515,               0.000515,               0.000515
                     17,                 1.0289,                0.90893,                 1.1218,                0.72089,                0.68456,                0.75796,                0.44157,                 1.3986,                 1.2688,                  1.413,               0.000416,               0.000416,               0.000416
                     18,                  1.013,                0.85293,                 1.1056,                0.70519,                0.71141,                0.77627,                  0.465,                 1.3748,                 1.1776,                 1.3829,               0.000317,               0.000317,               0.000317
                     19,                0.97508,                0.83479,                 1.0865,                0.79178,                0.65772,                0.76997,                0.46557,                 1.3518,                 1.1659,                  1.357,               0.000218,               0.000218,               0.000218
                     20,                0.98532,                0.78762,                 1.1001,                0.77517,                0.65772,                0.76823,                0.46353,                 1.3451,                 1.1556,                 1.3572,               0.000119,               0.000119,               0.000119
