                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.164,                0.93567,                 1.2298,                0.87413,                0.90566,                0.95442,                0.70737,                0.91476,                0.65478,                 1.0609,                0.00034,                0.00034,                0.00034
                      2,                 1.1507,                0.89527,                 1.1971,                0.80454,                0.86792,                 0.9023,                0.62003,                 1.0576,                0.82153,                 1.1254,             0.00066535,             0.00066535,             0.00066535
                      3,                 1.1213,                0.91932,                 1.2056,                0.82181,                0.78774,                 0.8771,                0.57112,                 1.1758,                0.91826,                 1.1987,             0.00095506,             0.00095506,             0.00095506
                      4,                 1.2197,                0.97216,                 1.2335,                0.77039,                0.74528,                0.83351,                0.55877,                 1.1221,                0.93608,                 1.1757,              0.0012091,              0.0012091,              0.0012091
                      5,                 1.1935,                0.99181,                 1.2376,                0.67916,                0.77358,                0.78485,                0.51317,                   1.21,                 1.0617,                 1.2479,              0.0014276,              0.0014276,              0.0014276
                      6,                 1.2034,                 1.0016,                 1.2382,                0.79687,                0.67453,                0.81314,                0.50101,                 1.2259,                 1.1812,                  1.265,               0.001505,               0.001505,               0.001505
                      7,                 1.1708,                  1.013,                 1.2355,                0.73804,                0.70434,                0.77645,                0.45457,                 1.2985,                  1.113,                 1.2983,               0.001406,               0.001406,               0.001406
                      8,                 1.2235,                0.99987,                 1.2508,                 0.7424,                0.59816,                 0.6988,                0.39058,                  1.381,                 1.2929,                 1.4139,               0.001307,               0.001307,               0.001307
                      9,                 1.2124,                 1.0149,                 1.2543,                0.75512,                0.73113,                0.79338,                0.50731,                 1.2957,                 1.0607,                 1.2971,               0.001208,               0.001208,               0.001208
                     10,                 1.2123,                0.99615,                 1.2327,                0.74591,                0.74057,                0.78559,                0.46433,                 1.2956,                 1.1522,                 1.3126,               0.001109,               0.001109,               0.001109
                     11,                 1.0965,                0.96958,                 1.1759,                  0.733,                0.66509,                0.76312,                0.50724,                  1.205,                 1.2341,                 1.2743,                0.00101,                0.00101,                0.00101
                     12,                 1.0736,                0.88312,                 1.1636,                0.74035,                0.71282,                  0.776,                0.47972,                 1.2401,                 1.2624,                 1.2859,               0.000911,               0.000911,               0.000911
                     13,                 1.0339,                0.84876,                 1.1513,                0.73593,                0.78875,                0.81606,                0.52698,                 1.1473,                 1.0001,                 1.2574,               0.000812,               0.000812,               0.000812
                     14,                 1.0137,                0.77618,                 1.1286,                0.75456,                0.75472,                0.81767,                0.51627,                 1.1565,                 1.0441,                 1.2465,               0.000713,               0.000713,               0.000713
                     15,                0.97522,                0.76988,                 1.1064,                0.75643,                0.79245,                0.82905,                0.53792,                 1.1643,                0.99387,                 1.2374,               0.000614,               0.000614,               0.000614
                     16,                0.95409,                0.73747,                 1.1049,                0.73605,                0.81555,                0.84578,                0.56154,                 1.1724,                0.92605,                  1.245,               0.000515,               0.000515,               0.000515
                     17,                0.94215,                0.69673,                  1.069,                0.83186,                0.77011,                0.86765,                0.57874,                 1.1367,                0.91004,                 1.2215,               0.000416,               0.000416,               0.000416
                     18,                0.92638,                 0.6833,                 1.0813,                0.83657,                0.81604,                0.88195,                0.59184,                 1.1106,                 0.8282,                 1.1979,               0.000317,               0.000317,               0.000317
                     19,                0.90784,                0.66036,                 1.0619,                0.89785,                 0.7783,                  0.887,                0.60596,                 1.0927,                0.81083,                 1.1872,               0.000218,               0.000218,               0.000218
                     20,                0.88908,                 0.6125,                 1.0359,                0.89257,                0.78774,                0.88391,                0.60575,                  1.084,                0.80907,                 1.1886,               0.000119,               0.000119,               0.000119
