                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94864,                0.70898,                  1.099,                0.92188,                0.93396,                0.97847,                0.73392,                0.90497,                0.55912,                 1.0353,                0.00034,                0.00034,                0.00034
                      2,                0.88471,                0.65085,                 1.0965,                0.91921,                0.86321,                0.94608,                0.71964,                0.87775,                0.71162,                 1.0583,             0.00066535,             0.00066535,             0.00066535
                      3,                0.92209,                0.73909,                 1.1081,                0.80374,                0.79245,                0.87459,                0.62939,                 1.0068,                0.79737,                 1.0966,             0.00095506,             0.00095506,             0.00095506
                      4,                0.96773,                0.78588,                 1.1334,                0.83094,                0.81144,                0.88681,                0.62617,                 1.0087,                0.76865,                 1.0986,              0.0012091,              0.0012091,              0.0012091
                      5,                  1.033,                0.83637,                 1.1504,                 0.7345,                 0.7217,                0.79179,                0.52203,                 1.1675,                 1.1316,                  1.216,              0.0014276,              0.0014276,              0.0014276
                      6,                 1.0201,                0.85421,                 1.1632,                0.83607,                0.72172,                0.83209,                 0.5291,                  1.217,                0.98083,                 1.2596,               0.001505,               0.001505,               0.001505
                      7,                 1.0531,                0.89364,                 1.2113,                0.72987,                0.79245,                0.82472,                0.53248,                 1.2189,                0.97173,                 1.2452,               0.001406,               0.001406,               0.001406
                      8,                 1.0416,                0.83082,                 1.1678,                0.83794,                0.80488,                0.89202,                0.62785,                  1.048,                0.94612,                 1.1396,               0.001307,               0.001307,               0.001307
                      9,                 1.0647,                0.86874,                 1.1778,                0.86257,                 0.8066,                0.89967,                0.66562,                0.97885,                0.80036,                 1.0896,               0.001208,               0.001208,               0.001208
                     10,                 1.0145,                0.82477,                 1.1896,                0.83971,                0.79717,                0.89232,                0.63422,                 1.0171,                0.82627,                 1.1242,               0.001109,               0.001109,               0.001109
                     11,                 1.0008,                0.81404,                 1.1674,                0.85401,                0.86321,                0.91732,                0.66063,                 1.0135,                0.79283,                 1.0989,                0.00101,                0.00101,                0.00101
                     12,                0.96078,                0.79002,                 1.1354,                0.70519,                0.85377,                0.85403,                0.58053,                 1.0566,                 1.1418,                 1.1376,               0.000911,               0.000911,               0.000911
                     13,                0.93801,                0.73876,                 1.1071,                0.86176,                0.85276,                0.93766,                0.68005,                0.93833,                 0.7942,                 1.0822,               0.000812,               0.000812,               0.000812
                     14,                0.92786,                0.73741,                  1.112,                0.88475,                0.83283,                 0.9292,                0.68122,                0.99634,                0.71732,                 1.0928,               0.000713,               0.000713,               0.000713
                     15,                 0.8783,                0.68935,                 1.0839,                0.93521,                0.88519,                0.96785,                0.74324,                0.88748,                0.62467,                 1.0276,               0.000614,               0.000614,               0.000614
                     16,                0.87643,                0.65005,                 1.0657,                0.94011,                0.89623,                0.97244,                0.75943,                0.82408,                0.57517,                0.99798,               0.000515,               0.000515,               0.000515
                     17,                0.85237,                0.62116,                 1.0538,                0.92028,                0.92453,                0.97379,                0.75866,                0.82091,                0.56393,                0.99446,               0.000416,               0.000416,               0.000416
                     18,                0.84048,                0.61695,                 1.0488,                0.92559,                0.93881,                0.98118,                0.77219,                 0.7932,                0.52306,                0.98339,               0.000317,               0.000317,               0.000317
                     19,                  0.852,                0.59791,                 1.0538,                0.94855,                 0.9567,                0.98248,                0.78737,                0.75776,                0.50478,                0.97035,               0.000218,               0.000218,               0.000218
                     20,                0.78397,                0.54545,                 1.0217,                0.94206,                0.96226,                 0.9847,                0.79614,                0.74573,                0.48797,                0.96643,               0.000119,               0.000119,               0.000119
