                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2835,                 1.1514,                 1.3016,                0.89532,                0.74497,                0.88702,                0.60152,                 1.1261,                0.92603,                 1.1651,                0.00022,                0.00022,                0.00022
                      2,                 1.2908,                  1.148,                 1.3306,                0.79506,                0.72904,                0.83832,                  0.571,                 1.1058,                0.99419,                 1.1682,             0.00043723,             0.00043723,             0.00043723
                      3,                  1.219,                 1.1303,                 1.2795,                0.80943,                0.62714,                0.77219,                0.48543,                 1.2283,                 1.1986,                 1.2142,              0.0006307,              0.0006307,              0.0006307
                      4,                 1.1934,                  1.069,                 1.2446,                0.70048,                0.67493,                0.74249,                0.47009,                 1.2482,                 1.2476,                 1.2403,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.2048,                  1.102,                 1.2631,                0.72372,                0.65101,                0.73984,                0.44006,                 1.3592,                 1.3308,                 1.3327,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.2049,                 1.0798,                 1.2161,                0.66088,                0.70628,                0.73707,                0.44558,                 1.4438,                 1.2408,                 1.3883,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.2448,                  1.116,                 1.2607,                0.78648,                0.59333,                0.71701,                0.44837,                 1.3723,                 1.2874,                 1.3558,               0.001167,               0.001167,               0.001167
                      8,                 1.2701,                 1.0946,                 1.3095,                0.71291,                0.58389,                0.62056,                0.35444,                 1.4706,                 1.5188,                 1.4028,              0.0012416,              0.0012416,              0.0012416
                      9,                 1.2823,                 1.1476,                 1.2811,                0.67943,                0.61166,                0.66546,                0.38692,                 1.4784,                 1.4745,                  1.419,               0.001208,               0.001208,               0.001208
                     10,                 1.2658,                 1.1536,                 1.2822,                0.80087,                0.58389,                0.73035,                0.44781,                 1.3953,                 1.3427,                 1.3614,               0.001109,               0.001109,               0.001109
                     11,                 1.1758,                 1.1366,                 1.2558,                0.74427,                0.67785,                0.72438,                0.45444,                 1.3595,                 1.2809,                 1.3269,                0.00101,                0.00101,                0.00101
                     12,                 1.1272,                  1.058,                 1.2125,                0.80679,                0.63087,                 0.7436,                0.46291,                 1.3198,                 1.2103,                 1.2953,               0.000911,               0.000911,               0.000911
                     13,                  1.146,                 0.9864,                  1.206,                0.81275,                0.58264,                0.74134,                0.46524,                 1.3143,                 1.2853,                 1.2881,               0.000812,               0.000812,               0.000812
                     14,                 1.1047,                0.94398,                 1.1954,                 0.7214,                0.69516,                0.76851,                0.50162,                 1.2496,                 1.1711,                 1.2428,               0.000713,               0.000713,               0.000713
                     15,                 1.1154,                0.91589,                 1.1779,                0.84248,                0.61022,                0.77801,                0.50736,                 1.2668,                 1.1433,                 1.2555,               0.000614,               0.000614,               0.000614
                     16,                 1.0517,                0.88924,                 1.1425,                0.74719,                0.71812,                0.78277,                0.51259,                 1.2329,                 1.1427,                  1.242,               0.000515,               0.000515,               0.000515
                     17,                 1.0195,                0.83449,                 1.1425,                0.80611,                0.68456,                0.77604,                0.49195,                 1.2768,                 1.1556,                 1.2852,               0.000416,               0.000416,               0.000416
                     18,                  1.032,                0.83182,                 1.1165,                0.85291,                0.68456,                0.78028,                0.50058,                 1.2714,                   1.12,                 1.2841,               0.000317,               0.000317,               0.000317
                     19,                 1.0007,                0.78593,                 1.1138,                0.78621,                0.69799,                0.78176,                0.50647,                 1.2387,                  1.105,                 1.2601,               0.000218,               0.000218,               0.000218
                     20,                 1.0002,                0.77747,                 1.1424,                0.79485,                0.71141,                0.78922,                0.52046,                 1.2113,                 1.0631,                 1.2377,               0.000119,               0.000119,               0.000119
