                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3305,                 1.1813,                 1.3135,                0.85436,                0.74809,                0.86257,                0.58068,                 1.1143,                0.91303,                 1.1566,                0.00022,                0.00022,                0.00022
                      2,                 1.2714,                 1.1062,                 1.2969,                0.87359,                 0.7421,                0.85814,                0.59098,                 1.0955,                0.91018,                 1.1268,             0.00043723,             0.00043723,             0.00043723
                      3,                 1.3251,                 1.1389,                 1.2664,                0.87512,                0.69128,                0.82869,                0.54079,                 1.1922,                 1.0412,                 1.2081,              0.0006307,              0.0006307,              0.0006307
                      4,                 1.2639,                 1.1708,                 1.2578,                0.61269,                0.70072,                 0.6893,                0.43644,                 1.2593,                  1.356,                 1.2467,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.3286,                 1.2132,                 1.2892,                 0.7991,                0.57047,                0.72641,                0.46873,                 1.2996,                 1.2873,                 1.2633,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.2578,                 1.2178,                 1.2781,                0.74015,                0.65101,                0.71532,                0.42479,                 1.4169,                 1.3827,                 1.3727,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.3059,                 1.1412,                 1.2986,                0.60773,                0.60306,                0.63165,                0.36794,                 1.3997,                 1.5851,                 1.3712,               0.001167,               0.001167,               0.001167
                      8,                 1.2994,                 1.1769,                 1.2849,                0.67415,                0.61745,                0.69777,                0.41176,                 1.3553,                 1.3783,                 1.3416,              0.0012416,              0.0012416,              0.0012416
                      9,                 1.2465,                 1.0365,                   1.23,                0.57416,                0.59732,                0.63752,                0.37874,                 1.4444,                 1.4735,                 1.4087,               0.001208,               0.001208,               0.001208
                     10,                 1.2541,                 1.1359,                 1.2417,                0.67828,                0.58389,                0.65502,                0.39999,                 1.3679,                 1.4154,                 1.3666,               0.001109,               0.001109,               0.001109
                     11,                 1.1987,                 1.1291,                 1.2306,                 0.6503,                0.59908,                0.68311,                0.40176,                  1.425,                 1.4024,                 1.4219,                0.00101,                0.00101,                0.00101
                     12,                 1.1914,                 1.0121,                 1.2243,                0.56384,                0.65101,                0.65539,                0.38853,                 1.4535,                  1.434,                 1.4479,               0.000911,               0.000911,               0.000911
                     13,                 1.1458,                0.99598,                 1.1796,                 0.7824,                0.53091,                0.66403,                0.39072,                 1.4259,                 1.5572,                 1.4428,               0.000812,               0.000812,               0.000812
                     14,                 1.1764,                 1.0059,                 1.1922,                 0.6396,                0.65101,                0.67429,                0.40767,                 1.3864,                  1.514,                 1.4147,               0.000713,               0.000713,               0.000713
                     15,                 1.1178,                  0.912,                 1.1806,                0.76717,                0.55288,                0.69144,                0.42433,                 1.3623,                 1.4186,                 1.3479,               0.000614,               0.000614,               0.000614
                     16,                 1.1016,                0.94979,                 1.1741,                0.73139,                0.57718,                0.69514,                0.44219,                  1.301,                 1.2964,                 1.2971,               0.000515,               0.000515,               0.000515
                     17,                 1.0965,                0.92999,                 1.1723,                0.70677,                0.65101,                0.72734,                 0.4577,                 1.2926,                 1.2687,                 1.2912,               0.000416,               0.000416,               0.000416
                     18,                 1.0571,                0.84299,                 1.1308,                0.72742,                0.72483,                0.78606,                0.49917,                  1.252,                 1.1045,                 1.2698,               0.000317,               0.000317,               0.000317
                     19,                0.97603,                0.79103,                  1.084,                 0.6404,                0.79195,                0.78979,                0.52385,                 1.2331,                  1.064,                 1.2563,               0.000218,               0.000218,               0.000218
                     20,                0.99693,                0.80331,                 1.0986,                0.66237,                0.77852,                0.79362,                0.52762,                 1.2095,                 1.0341,                 1.2435,               0.000119,               0.000119,               0.000119
