                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2919,                 1.3107,                 1.2794,                0.76564,                0.67969,                0.75283,                0.48677,                 1.2532,                 1.2768,                 1.2707,                0.00022,                0.00022,                0.00022
                      2,                 1.2788,                 1.2377,                 1.2918,                  0.787,                0.63758,                0.74837,                0.48105,                 1.2392,                   1.22,                 1.2458,             0.00043723,             0.00043723,             0.00043723
                      3,                 1.3429,                 1.2465,                 1.2691,                0.80042,                0.61907,                0.73621,                0.44188,                 1.3648,                 1.2955,                  1.316,              0.0006307,              0.0006307,              0.0006307
                      4,                 1.2568,                 1.2529,                 1.2565,                0.61706,                0.67114,                0.67608,                0.40444,                 1.3602,                 1.4075,                  1.329,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.3794,                 1.3116,                 1.3178,                0.81353,                0.57047,                0.69312,                0.42259,                  1.338,                 1.3448,                 1.3373,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.2701,                 1.2682,                 1.2982,                0.75258,                0.55117,                0.66576,                0.38157,                 1.4025,                 1.4968,                 1.4319,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.3259,                 1.2381,                 1.3123,                0.63179,                0.42282,                0.47366,                0.25856,                 1.5152,                 1.9725,                 1.4961,               0.001167,               0.001167,               0.001167
                      8,                  1.302,                 1.2451,                 1.2862,                0.65115,                0.52617,                0.57387,                0.33809,                  1.519,                 1.6867,                 1.4609,              0.0012416,              0.0012416,              0.0012416
                      9,                  1.257,                 1.1313,                 1.2244,                0.72346,                0.50336,                0.59182,                0.34549,                 1.5553,                 1.7621,                 1.4564,               0.001208,               0.001208,               0.001208
                     10,                  1.262,                 1.1782,                 1.2576,                0.61329,                0.51678,                0.55784,                0.31885,                 1.5249,                 2.0165,                 1.4568,               0.001109,               0.001109,               0.001109
                     11,                 1.2713,                 1.2368,                 1.2839,                0.63997,                0.61074,                0.63705,                0.36121,                 1.5466,                 1.5679,                 1.4609,                0.00101,                0.00101,                0.00101
                     12,                 1.2112,                 1.1326,                 1.2381,                0.72426,                 0.6443,                0.69308,                0.40775,                 1.4301,                 1.4254,                 1.3992,               0.000911,               0.000911,               0.000911
                     13,                 1.1847,                 1.0802,                  1.212,                0.70593,                0.64444,                 0.6976,                0.41012,                 1.3689,                 1.5765,                 1.3452,               0.000812,               0.000812,               0.000812
                     14,                 1.1612,                 1.0902,                 1.1805,                0.60326,                0.65313,                0.67629,                0.39766,                 1.4027,                 1.5063,                 1.3612,               0.000713,               0.000713,               0.000713
                     15,                 1.1128,                 1.0299,                 1.1694,                 0.5844,                0.58512,                0.62679,                0.36743,                 1.4008,                 1.4437,                 1.3647,               0.000614,               0.000614,               0.000614
                     16,                 1.1358,                 1.0192,                 1.1819,                0.73987,                0.62995,                0.71512,                0.43403,                 1.3574,                  1.327,                 1.3473,               0.000515,               0.000515,               0.000515
                     17,                 1.0972,                  1.001,                 1.1651,                0.70079,                0.67114,                0.71895,                0.44465,                 1.3225,                 1.2904,                 1.3298,               0.000416,               0.000416,               0.000416
                     18,                 1.0701,                0.91095,                 1.1355,                0.70404,                0.68456,                0.74097,                0.46229,                 1.3027,                 1.2205,                 1.3156,               0.000317,               0.000317,               0.000317
                     19,                0.99978,                0.84169,                 1.0866,                0.69148,                0.69128,                0.74966,                0.46349,                 1.2742,                 1.1697,                 1.2883,               0.000218,               0.000218,               0.000218
                     20,                  1.007,                0.83541,                 1.1039,                0.70231,                0.68085,                0.74762,                0.46553,                 1.2492,                 1.1608,                 1.2716,               0.000119,               0.000119,               0.000119
