                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94646,                0.70782,                 1.0946,                0.94374,                0.93868,                0.98074,                0.74632,                0.85425,                0.53697,                 1.0186,                0.00034,                0.00034,                0.00034
                      2,                 0.9104,                0.64871,                 1.0747,                0.94752,                0.85849,                0.96745,                  0.734,                0.89869,                0.60047,                 1.0458,             0.00066535,             0.00066535,             0.00066535
                      3,                0.92794,                0.71505,                 1.0794,                0.86463,                0.84356,                0.91829,                0.66301,                0.99903,                0.72007,                 1.0984,             0.00095506,             0.00095506,             0.00095506
                      4,                 1.0057,                0.75583,                 1.1307,                0.84806,                 0.7783,                0.89336,                0.62642,                  1.055,                0.84444,                 1.1399,              0.0012091,              0.0012091,              0.0012091
                      5,                 1.0172,                0.82179,                 1.1472,                0.80623,                 0.7783,                0.86021,                0.57288,                 1.1278,                0.85335,                 1.1586,              0.0014276,              0.0014276,              0.0014276
                      6,                  1.077,                0.88055,                 1.1523,                0.92987,                 0.7783,                0.90131,                0.61727,                 1.0396,                0.86468,                 1.1566,               0.001505,               0.001505,               0.001505
                      7,                 1.0615,                0.87313,                 1.1688,                0.90486,                0.80749,                0.91965,                 0.6523,                 1.0272,                 0.7923,                 1.1343,               0.001406,               0.001406,               0.001406
                      8,                 1.0489,                0.87171,                  1.156,                 0.8902,                 0.8031,                0.89928,                0.57637,                 1.1827,                0.87344,                 1.2223,               0.001307,               0.001307,               0.001307
                      9,                 1.1019,                0.90052,                  1.191,                0.85622,                0.84273,                0.91609,                0.64058,                 1.0206,                0.78427,                 1.1421,               0.001208,               0.001208,               0.001208
                     10,                 1.0565,                0.84092,                 1.1711,                0.82991,                0.86792,                0.92394,                0.65517,                 1.0006,                0.78943,                  1.109,               0.001109,               0.001109,               0.001109
                     11,                 1.0128,                0.83738,                 1.1347,                0.79118,                 0.8757,                 0.9108,                0.65754,                0.98563,                0.76093,                 1.1019,                0.00101,                0.00101,                0.00101
                     12,                0.96345,                0.74199,                 1.0912,                0.85173,                0.78581,                  0.914,                0.65289,                0.97504,                0.79984,                 1.0785,               0.000911,               0.000911,               0.000911
                     13,                0.95491,                0.70212,                  1.063,                0.84146,                 0.8066,                0.91606,                0.66093,                0.92599,                 0.8096,                  1.056,               0.000812,               0.000812,               0.000812
                     14,                0.96122,                 0.7181,                 1.0951,                0.92725,                0.85849,                0.95786,                0.71711,                0.89548,                0.64189,                 1.0346,               0.000713,               0.000713,               0.000713
                     15,                0.95784,                0.69193,                 1.0974,                 0.9567,                0.83962,                0.96007,                0.72079,                0.87453,                0.63099,                 1.0233,               0.000614,               0.000614,               0.000614
                     16,                0.91559,                0.66207,                  1.078,                0.91454,                0.88679,                0.95612,                0.72423,                0.86454,                0.64137,                 1.0461,               0.000515,               0.000515,               0.000515
                     17,                0.92343,                0.64097,                 1.0779,                 0.9186,                0.90488,                0.97571,                0.74879,                 0.8315,                0.54725,                 1.0228,               0.000416,               0.000416,               0.000416
                     18,                0.89475,                0.62785,                 1.0626,                0.93973,                0.91981,                0.97806,                0.75394,                0.83469,                0.53327,                 1.0141,               0.000317,               0.000317,               0.000317
                     19,                0.86586,                0.60619,                  1.043,                0.93849,                0.93556,                0.98451,                0.77061,                0.79025,                0.50301,                0.99158,               0.000218,               0.000218,               0.000218
                     20,                0.86709,                0.58849,                 1.0358,                0.94167,                0.96226,                0.98716,                 0.7803,                0.77017,                0.48412,                 0.9873,               0.000119,               0.000119,               0.000119
