                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2087,                 1.1176,                 1.2379,                0.85553,                0.71812,                0.85604,                 0.5808,                 1.1192,                0.94781,                 1.1613,                0.00022,                0.00022,                0.00022
                      2,                 1.2149,                 1.0966,                 1.2681,                 0.7537,                0.73826,                0.83879,                0.55501,                 1.1279,                0.98751,                 1.1807,             0.00043723,             0.00043723,             0.00043723
                      3,                 1.2075,                 1.1261,                 1.2616,                0.81316,                0.71141,                0.84216,                0.54156,                 1.2504,                 1.0874,                 1.2607,              0.0006307,              0.0006307,              0.0006307
                      4,                 1.2325,                 1.1294,                 1.2299,                0.75703,                0.63758,                0.73865,                0.46534,                 1.3015,                 1.2313,                 1.2751,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.2532,                 1.1762,                 1.3036,                0.72448,                 0.6706,                0.75087,                0.47291,                 1.2836,                 1.1818,                 1.2747,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.2575,                  1.162,                 1.2622,                0.64298,                0.66479,                0.70624,                0.42472,                 1.2952,                 1.4852,                 1.3003,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.2851,                 1.1767,                 1.2955,                0.71903,                0.59732,                0.71879,                0.40952,                 1.4165,                   1.55,                 1.3559,               0.001167,               0.001167,               0.001167
                      8,                 1.2484,                 1.1336,                 1.2974,                 0.7102,                0.66443,                0.71171,                0.41769,                  1.413,                 1.2937,                 1.3635,              0.0012416,              0.0012416,              0.0012416
                      9,                 1.2559,                 1.0771,                 1.2405,                0.75971,                0.59732,                0.67907,                0.41663,                 1.3744,                 1.3121,                 1.3504,               0.001208,               0.001208,               0.001208
                     10,                 1.2197,                 1.0965,                 1.2411,                  0.691,                0.60035,                0.63723,                0.37349,                 1.4499,                 1.4293,                 1.4113,               0.001109,               0.001109,               0.001109
                     11,                 1.1781,                 1.1626,                 1.2342,                0.74374,                0.57047,                0.61279,                 0.3666,                 1.4233,                 1.5977,                 1.4065,                0.00101,                0.00101,                0.00101
                     12,                 1.1476,                  1.092,                 1.1891,                0.79818,                0.55741,                 0.6657,                0.39937,                  1.405,                 1.3875,                 1.3937,               0.000911,               0.000911,               0.000911
                     13,                  1.092,                 1.0008,                 1.1851,                0.59465,                 0.5809,                 0.6056,                0.33781,                 1.4643,                 1.4787,                 1.4928,               0.000812,               0.000812,               0.000812
                     14,                 1.1247,                0.97202,                 1.1717,                0.79937,                0.57047,                0.69804,                0.42828,                 1.3404,                 1.3048,                 1.3439,               0.000713,               0.000713,               0.000713
                     15,                  1.084,                0.93045,                  1.164,                0.81138,                0.63758,                0.74712,                0.47276,                 1.3092,                 1.2025,                 1.3284,               0.000614,               0.000614,               0.000614
                     16,                 1.0948,                0.90556,                 1.1724,                0.75321,                0.69644,                0.76157,                0.48077,                 1.2877,                 1.1639,                 1.2975,               0.000515,               0.000515,               0.000515
                     17,                 1.0163,                0.81768,                 1.1312,                0.79026,                0.74497,                0.79326,                0.50869,                 1.2424,                 1.0997,                 1.2568,               0.000416,               0.000416,               0.000416
                     18,                 1.0148,                0.80072,                 1.1036,                0.74978,                0.77181,                0.80046,                0.51272,                  1.235,                 1.0596,                 1.2439,               0.000317,               0.000317,               0.000317
                     19,                0.98891,                0.81123,                 1.0954,                0.74126,                0.77852,                0.81533,                0.52045,                 1.2345,                 1.0293,                 1.2399,               0.000218,               0.000218,               0.000218
                     20,                0.95408,                0.76975,                 1.1051,                0.79694,                0.72483,                0.81978,                0.52372,                 1.2262,                 1.0171,                 1.2317,               0.000119,               0.000119,               0.000119
