                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1996,                  1.034,                 1.2274,                0.81736,                0.77181,                0.86036,                0.59155,                 1.0971,                 0.9227,                 1.1626,                0.00022,                0.00022,                0.00022
                      2,                 1.1438,                 0.9609,                 1.2136,                  0.825,                0.72774,                0.83324,                0.55666,                 1.1643,                0.99983,                 1.2067,             0.00043723,             0.00043723,             0.00043723
                      3,                  1.208,                 1.0181,                 1.2194,                0.80199,                0.69128,                0.81289,                0.52804,                 1.2272,                 1.0447,                  1.253,              0.0006307,              0.0006307,              0.0006307
                      4,                 1.1685,                 1.0251,                 1.2125,                0.61779,                0.65772,                0.66439,                 0.4208,                 1.2949,                 1.3254,                 1.2989,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.2251,                 1.0799,                 1.2345,                0.64387,                0.63087,                0.66586,                0.42669,                  1.337,                 1.4097,                 1.3442,             0.00094636,             0.00094636,             0.00094636
                      6,                  1.168,                 1.0412,                 1.2211,                0.70255,                0.63409,                0.68903,                0.40992,                  1.442,                 1.3933,                  1.418,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.2321,                 1.0268,                 1.2396,                 0.7346,                0.59445,                 0.6782,                0.39104,                 1.4274,                 1.4547,                  1.419,               0.001167,               0.001167,               0.001167
                      8,                 1.2192,                 1.0605,                  1.233,                0.72965,                0.61745,                0.68237,                0.36786,                  1.465,                 1.3662,                 1.4525,              0.0012416,              0.0012416,              0.0012416
                      9,                 1.1922,                 0.9576,                 1.1896,                0.69019,                0.61074,                0.67106,                0.38253,                 1.4684,                 1.3776,                 1.4313,               0.001208,               0.001208,               0.001208
                     10,                 1.1825,                 1.0441,                 1.2055,                 0.6195,                0.67114,                0.68388,                0.40376,                  1.442,                  1.293,                 1.4056,               0.001109,               0.001109,               0.001109
                     11,                 1.2045,                 1.0539,                 1.2449,                0.63281,                0.60146,                0.65898,                0.37735,                 1.4723,                 1.2545,                 1.4709,                0.00101,                0.00101,                0.00101
                     12,                 1.1123,                0.96262,                 1.1792,                0.63584,                0.68456,                0.71509,                0.43006,                 1.3963,                 1.2238,                 1.3689,               0.000911,               0.000911,               0.000911
                     13,                 1.0981,                0.87506,                 1.1571,                0.72912,                0.65101,                0.70057,                0.39099,                 1.4817,                 1.4003,                  1.454,               0.000812,               0.000812,               0.000812
                     14,                 1.0835,                0.92209,                 1.1431,                0.74523,                0.60859,                0.72527,                0.43094,                 1.4208,                 1.4209,                 1.3951,               0.000713,               0.000713,               0.000713
                     15,                 1.0451,                 0.8496,                  1.133,                0.66674,                0.69128,                 0.7352,                0.44042,                 1.4128,                 1.2944,                 1.3548,               0.000614,               0.000614,               0.000614
                     16,                 1.0653,                0.84995,                 1.1344,                0.74652,                0.62416,                0.72046,                0.44965,                 1.3475,                 1.2104,                 1.3243,               0.000515,               0.000515,               0.000515
                     17,                 1.0153,                0.83851,                 1.1167,                0.76393,                0.67785,                0.75723,                0.46632,                 1.3242,                 1.1635,                  1.315,               0.000416,               0.000416,               0.000416
                     18,                 1.0017,                0.76481,                 1.0924,                0.78046,                0.66805,                0.77993,                0.47709,                 1.3076,                 1.1296,                 1.3023,               0.000317,               0.000317,               0.000317
                     19,                0.94443,                0.70877,                 1.0552,                 0.7623,                0.68877,                 0.7893,                0.49513,                 1.3046,                 1.0893,                 1.2968,               0.000218,               0.000218,               0.000218
                     20,                0.95514,                0.71569,                 1.0722,                0.69938,                0.77181,                0.79794,                0.49666,                 1.2917,                 1.0882,                 1.2826,               0.000119,               0.000119,               0.000119
