                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3131,                 1.1462,                 1.3111,                0.81286,                 0.8255,                0.90973,                0.61525,                 1.1266,                0.86232,                 1.1567,                0.00022,                0.00022,                0.00022
                      2,                  1.319,                 1.1535,                 1.3524,                0.85397,                0.70647,                0.85065,                0.58364,                 1.0909,                0.93611,                 1.1582,             0.00043723,             0.00043723,             0.00043723
                      3,                 1.2461,                 1.1467,                 1.3028,                0.77382,                0.73477,                0.82756,                0.54556,                 1.1836,                 1.0147,                 1.1993,              0.0006307,              0.0006307,              0.0006307
                      4,                  1.199,                 1.0703,                 1.2452,                0.66907,                0.61745,                0.69502,                 0.4419,                 1.2643,                  1.286,                 1.2599,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.2382,                 1.1273,                 1.2701,                0.79362,                0.63758,                 0.7404,                0.47947,                 1.2537,                 1.1766,                 1.2658,             0.00094636,             0.00094636,             0.00094636
                      6,                  1.197,                 1.0645,                 1.2159,                0.67886,                0.67114,                0.72587,                0.43354,                 1.3008,                 1.2188,                 1.2694,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.2609,                 1.0989,                 1.2673,                0.77011,                 0.7047,                 0.7695,                 0.4758,                 1.3271,                 1.1671,                 1.3297,               0.001167,               0.001167,               0.001167
                      8,                  1.292,                 1.0734,                  1.332,                0.66994,                0.68456,                0.69655,                0.39853,                 1.4454,                 1.2741,                 1.4037,              0.0012416,              0.0012416,              0.0012416
                      9,                 1.2889,                  1.139,                 1.2933,                0.61948,                 0.5906,                 0.6142,                0.39753,                 1.3404,                 1.4396,                 1.3336,               0.001208,               0.001208,               0.001208
                     10,                 1.2608,                 1.1122,                 1.2734,                 0.7304,                0.65101,                0.73356,                0.48112,                 1.2796,                 1.2636,                 1.2703,               0.001109,               0.001109,               0.001109
                     11,                  1.165,                 1.1147,                 1.2466,                0.79246,                0.61074,                0.74501,                0.47042,                 1.2972,                 1.2669,                 1.2869,                0.00101,                0.00101,                0.00101
                     12,                 1.1549,                 1.0127,                 1.2247,                0.75026,                0.69799,                0.76173,                0.49452,                 1.2148,                  1.166,                 1.2428,               0.000911,               0.000911,               0.000911
                     13,                 1.1084,                0.96474,                 1.1807,                 0.7142,                0.74497,                0.78996,                0.49795,                 1.2543,                 1.2323,                 1.2392,               0.000812,               0.000812,               0.000812
                     14,                 1.1275,                0.92285,                 1.1989,                0.74767,                0.69605,                 0.7836,                  0.503,                 1.2305,                 1.1363,                  1.223,               0.000713,               0.000713,               0.000713
                     15,                  1.111,                0.87696,                 1.1885,                0.75781,                 0.7047,                 0.7923,                0.48586,                  1.258,                 1.1667,                 1.2465,               0.000614,               0.000614,               0.000614
                     16,                 1.0946,                0.87661,                 1.1586,                0.80804,                0.69128,                 0.8009,                0.49733,                 1.2712,                 1.1528,                 1.2519,               0.000515,               0.000515,               0.000515
                     17,                 1.0594,                0.86521,                  1.159,                0.81303,                0.69128,                0.80919,                0.51363,                 1.2542,                 1.0366,                 1.2512,               0.000416,               0.000416,               0.000416
                     18,                 1.0561,                0.80855,                 1.1342,                 0.7879,                0.69809,                0.81088,                0.51996,                 1.2574,                 1.0503,                 1.2461,               0.000317,               0.000317,               0.000317
                     19,                 1.0141,                0.79999,                 1.1121,                0.80449,                0.69043,                0.80583,                0.52463,                 1.2125,                 1.0414,                 1.2204,               0.000218,               0.000218,               0.000218
                     20,                 1.0391,                0.79661,                 1.1627,                0.77004,                0.69671,                0.80879,                0.53019,                 1.2013,                 1.0386,                 1.2131,               0.000119,               0.000119,               0.000119
