                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2351,                 1.2137,                 1.2431,                0.70043,                0.77181,                0.79035,                0.52253,                  1.223,                 1.1018,                 1.2307,                0.00022,                0.00022,                0.00022
                      2,                 1.2454,                 1.2318,                 1.2895,                0.69601,                0.74497,                0.77743,                0.50238,                 1.2168,                 1.1365,                 1.2367,             0.00043723,             0.00043723,             0.00043723
                      3,                 1.2244,                 1.2149,                 1.2834,                 0.6219,                0.75168,                0.75208,                 0.4782,                 1.2832,                  1.197,                 1.3007,              0.0006307,              0.0006307,              0.0006307
                      4,                 1.2536,                 1.2148,                 1.2467,                0.70647,                0.56536,                0.66241,                0.39806,                 1.4195,                 1.4397,                 1.3437,             0.00080041,             0.00080041,             0.00080041
                      5,                 1.2626,                 1.2283,                 1.3067,                0.62731,                 0.5906,                0.66915,                0.39655,                 1.3209,                 1.4052,                  1.331,             0.00094636,             0.00094636,             0.00094636
                      6,                 1.2735,                 1.1798,                 1.2772,                0.75273,                0.53122,                0.65707,                0.38432,                 1.3896,                 1.4654,                 1.3883,              0.0010685,              0.0010685,              0.0010685
                      7,                 1.3073,                 1.1999,                 1.2972,                  0.684,                0.59732,                0.63625,                0.37092,                   1.42,                 1.5275,                 1.4232,               0.001167,               0.001167,               0.001167
                      8,                 1.2726,                 1.1818,                 1.3066,                  0.734,                0.53691,                0.63898,                0.36006,                 1.4599,                 1.4667,                  1.415,              0.0012416,              0.0012416,              0.0012416
                      9,                 1.2689,                 1.1267,                 1.2469,                0.64866,                0.65672,                0.66562,                0.38313,                 1.4518,                 1.3847,                 1.4288,               0.001208,               0.001208,               0.001208
                     10,                 1.2454,                 1.1253,                   1.26,                 0.6514,                0.58389,                0.62643,                0.35553,                 1.4704,                 1.4838,                 1.4438,               0.001109,               0.001109,               0.001109
                     11,                 1.1926,                 1.1938,                 1.2373,                0.72229,                0.57718,                0.63046,                 0.3764,                 1.4026,                  1.581,                 1.3629,                0.00101,                0.00101,                0.00101
                     12,                 1.1445,                 1.0842,                 1.1835,                0.64786,                0.66679,                0.67475,                0.40925,                 1.3747,                 1.4031,                 1.3523,               0.000911,               0.000911,               0.000911
                     13,                 1.1253,                 1.1121,                 1.1998,                 0.7114,                0.59732,                0.66402,                0.39558,                 1.4055,                 1.4624,                 1.4096,               0.000812,               0.000812,               0.000812
                     14,                 1.1188,                  1.021,                   1.17,                0.70979,                0.67785,                0.69628,                0.42226,                 1.3544,                 1.3781,                 1.3547,               0.000713,               0.000713,               0.000713
                     15,                 1.0818,                0.95073,                 1.1615,                0.70472,                0.64072,                 0.6865,                0.42446,                 1.3236,                 1.3681,                 1.3328,               0.000614,               0.000614,               0.000614
                     16,                 1.0877,                0.93248,                 1.1682,                0.71059,                0.69799,                0.71199,                0.43302,                 1.3248,                 1.2732,                 1.3282,               0.000515,               0.000515,               0.000515
                     17,                 1.0502,                0.86576,                 1.1428,                0.73255,                0.69799,                0.73617,                  0.455,                 1.3342,                  1.251,                 1.3133,               0.000416,               0.000416,               0.000416
                     18,                0.99493,                0.81828,                 1.0914,                0.78996,                0.62416,                0.74774,                0.46629,                 1.2789,                 1.2093,                 1.2899,               0.000317,               0.000317,               0.000317
                     19,                0.96101,                0.81723,                 1.0861,                0.64882,                0.75168,                0.75925,                0.47494,                 1.2535,                 1.1911,                 1.2792,               0.000218,               0.000218,               0.000218
                     20,                 0.9717,                0.80299,                 1.1104,                 0.7495,                0.68275,                0.76859,                0.48629,                 1.2381,                 1.1685,                 1.2701,               0.000119,               0.000119,               0.000119
